Time Block,Time Desc,ISGS,MTOA,STOA,LTA,IEX,PXI,URS,RRAS,SCED,Net Total
1,00:00-00:15,2215.298035,45.07,-52.92,297.05,106.42,0,0,0,0,2610.918035
2,00:15-00:30,2209.028087,45.07,-52.92,297.05,106.42,0,0,0,0,2604.648087
3,00:30-00:45,2045.482642,45.07,-52.92,297.05,106.32,0,0,0,0,2441.002642
4,00:45-01:00,1890.940991,45.07,-52.92,297.05,106.71,0,0,0,0,2286.850991
5,01:00-01:15,1863.94181,45.07,-52.92,297.05,107.09,0,0,0,0,2260.23181
6,01:15-01:30,1870.025744,45.07,-52.92,297.05,107.48,0,0,0,0,2266.705744
7,01:30-01:45,1975.547233,45.07,-52.92,297.05,108.06,0,0,0,0,2372.807233
8,01:45-02:00,2122.460651,45.07,-52.92,297.05,108.06,0,0,0,0,2519.720651
9,02:00-02:15,2198.514519,45.07,-52.92,297.05,108.55,0,0,0,0,2596.264519
10,02:15-02:30,2198.514519,45.07,-52.92,297.05,108.84,0,0,0,0,2596.554519
11,02:30-02:45,1910.784251,45.07,-52.92,297.05,109.32,0,0,0,0,2309.304251
12,02:45-03:00,1766.803238,45.07,-52.92,297.05,109.03,0,0,0,0,2165.033238
13,03:00-03:15,1576.154282,45.07,-52.92,297.05,109.32,0,0,0,0,1974.674282
14,03:15-03:30,1433.33081,45.07,-52.92,297.05,109.22,0,0,0,0,1831.75081
15,03:30-03:45,1352.692081,45.07,-52.92,297.05,109.32,0,0,0,0,1751.212081
16,03:45-04:00,1352.692081,45.07,-52.92,297.05,109.32,0,0,0,0,1751.212081
17,04:00-04:15,1351.63534,45.07,-52.92,297.05,109.22,0,0,0,0,1750.05534
18,04:15-04:30,1094.408098,45.07,-52.92,297.05,93.42,0,0,0,0,1477.028098
19,04:30-04:45,1078.46576,45.07,-52.92,297.05,-158.02,0,0,0,0,1209.64576
20,04:45-05:00,1481.771208,45.07,-52.92,297.05,-71.05,0,0,0,0,1699.921208
21,05:00-05:15,1816.973314,45.07,-52.92,297.05,-3.11,0,0,0,0,2103.063314
22,05:15-05:30,2008.914422,45.07,-52.92,314.53,108.35,0,0,0,0,2423.944422
23,05:30-05:45,2211.907132,45.07,-52.92,323.76,105.64,0,0,0,0,2633.457132
24,05:45-06:00,2582.39057,45.07,-52.92,350.44,105.35,0,16.247304,0,0,3046.577874
25,06:00-06:15,2814.8506,45.07,-52.92,377.15,-97.09,0,21.561288,0,0,3108.621888
26,06:15-06:30,3033.167694,45.07,-52.92,377.15,-154.86,0,37.601844,0,0,3285.209538
27,06:30-06:45,3098.098322,45.07,237.57,377.15,-376.06,0,21.561288,0,0,3403.38961
28,06:45-07:00,3155.566445,45.07,237.57,377.15,-499.18,0,21.561288,0,0,3337.737733
29,07:00-07:15,3158.436052,45.07,237.57,376.27,15.88,0,265.697132,0,0,4098.923184
30,07:15-07:30,3151.229275,45.07,237.57,374.93,15.88,0,243.119931,0,0,4067.799206
31,07:30-07:45,2972.826846,45.07,237.57,340.69,247.49,0,12.143961,0,0,3855.790807
32,07:45-08:00,2843.921696,45.07,237.57,304.22,831.37,0,1.74863,0,0,4263.900326
