Time Block,Time Desc,ISGS,MTOA,STOA,LTA,IEX,PXI,URS,RRAS,SCED,Net Total
1,00:00-00:15,2206.648625,48.17,-98.58,297.09,88.33,0,0,0,0,2541.658625
2,00:15-00:30,2191.77207,48.69,-98.58,297.09,88.33,0,0,0,0,2527.30207
3,00:30-00:45,2199.45996,48.72,-98.58,297.09,88.33,0,0,0,0,2535.01996
4,00:45-01:00,2210.371395,48.72,-98.58,297.09,88.33,0,0,0,0,2545.931395
5,01:00-01:15,2223.83257,48.32,-98.58,297.09,88.33,0,0,0,0,2558.99257
6,01:15-01:30,2175.640747,48.69,-98.58,297.09,88.33,0,0,0,0,2511.170747
7,01:30-01:45,2207.708792,48.71,-98.58,297.09,88.33,0,0,0,0,2543.258792
8,01:45-02:00,2163.218196,48.65,-98.58,297.09,88.33,0,0,0,0,2498.708196
9,02:00-02:15,2016.087583,48.69,-98.58,297.09,88.33,0,0,0,0,2351.617583
10,02:15-02:30,1687.068761,48.8,-98.58,297.09,88.33,0,0,0,0,2022.708761
11,02:30-02:45,1865.39915,47.55,-98.58,297.09,88.33,0,0,0,0,2199.78915
12,02:45-03:00,1905.010793,49.09,-98.58,297.09,88.33,0,0,0,0,2240.940793
13,03:00-03:15,1671.904388,49.78,-98.58,297.09,88.33,0,0,0,0,2008.524388
14,03:15-03:30,1584.264956,49.58,-98.58,297.09,88.33,0,0,0,0,1920.684956
15,03:30-03:45,1070.961052,49.29,-98.58,297.09,88.33,0,0,0,0,1407.091052
16,03:45-04:00,897.835552,48.27,-98.58,297.09,88.33,0,0,0,0,1232.945552
17,04:00-04:15,960.333322,49.3,-98.58,297.09,-230.07,0,0,0,0,978.073322
18,04:15-04:30,1324.39306,49.26,-98.58,297.09,-416.43,0,0,0,0,1155.73306
19,04:30-04:45,1629.927984,49.1,-98.58,297.09,-416.04,0,0,0,0,1461.497984
20,04:45-05:00,1719.369902,48.99,-98.58,297.09,-514.63,0,0,0,0,1452.239902
21,05:00-05:15,1965.820901,48.93,-98.58,311.6,-1050.64,0,0,0,0,1177.130901
22,05:15-05:30,2315.359202,47.58,-98.58,311.6,-1219.68,0,0,0,0,1356.279202
23,05:30-05:45,2531.465512,48.87,-98.58,323.69,-1324.89,0,0,0,0,1480.555512
24,05:45-06:00,2714.066366,48.17,-98.58,350.28,-1580.68,0,0,0,0,1433.256366
25,06:00-06:15,3016.65399,48.46,-98.58,376.88,-1226.22,0,0,0,0,2117.19399
26,06:15-06:30,3125.162201,48.43,-98.58,376.88,-921.45,0,0,0,0,2530.442201
27,06:30-06:45,3142.790751,47.77,191.34,376.88,-1022.92,0,0,0,0,2735.860751
28,06:45-07:00,2984.506297,44.03,191.34,376.88,-949.58,0,0,0,0,2647.176297
29,07:00-07:15,3047.510655,41.02,191.34,376.54,-628.79,0,0,0,0,3027.620655
30,07:15-07:30,3047.042876,39.65,191.34,375.54,-387.69,0,0,0,0,3265.882876
31,07:30-07:45,3027.468296,43.51,191.34,342.97,-43.84,0,0,0,0,3561.448296
32,07:45-08:00,2904.187539,42.96,191.34,308.14,-23.14,0,0,0,0,3423.487539
33,08:00-08:15,2775.182298,44.7,191.34,280.49,-32.8,0,0,0,0,3258.912298
34,08:15-08:30,2498.830678,46.97,191.34,261.09,-32.8,0,0,0,0,2965.430678
35,08:30-08:45,2386.942138,45.09,191.34,221.73,-32.8,0,0,0,0,2812.302138
36,08:45-09:00,2667.526278,42.6,191.34,192.02,-32.8,0,0,0,0,3060.686278
37,09:00-09:15,2622.916405,49.78,191.34,161.13,-32.8,0,0,0,0,2992.366405
38,09:15-09:30,2613.220436,49.61,191.34,132.5,-32.8,0,0,0,0,2953.870436
39,09:30-09:45,2608.870966,44.4,191.34,103.7,-32.8,0,0,0,0,2915.510966
40,09:45-10:00,2225.13736,46.76,191.34,76.99,-32.8,0,0,0,0,2507.42736
41,10:00-10:15,2050.639376,48.83,191.34,51.41,0,0,0,0,0,2342.219376
42,10:15-10:30,1854.477672,49.78,191.34,28.89,0,0,0,0,0,2124.487672
43,10:30-10:45,2102.942287,49.78,191.34,8.89,0,0,0,0,0,2352.952287
44,10:45-11:00,2105.382052,47.87,191.34,-8.79,0,0,0,0,0,2335.802052
45,11:00-11:15,2463.172247,47.75,-98.58,-24.75,1.93,0,0,0,0,2389.522247
46,11:15-11:30,2470.010945,41.54,-98.58,-36.36,1.93,0,0,0,0,2378.540945
47,11:30-11:45,2430.978827,47.66,-98.58,-49.35,1.93,0,0,0,0,2332.638827
48,11:45-12:00,2430.978827,49.78,-98.58,-59.62,1.93,0,0,0,0,2324.488827
49,12:00-12:15,2490.450159,49.78,-98.58,-66.47,230,0,0,0,0,2605.180159
50,12:15-12:30,2490.12377,49.78,-98.58,-71.15,369.16,0,0,0,0,2739.33377
51,12:30-12:45,2464.993853,49.78,-98.58,-74.88,326.64,0,0,0,0,2667.953853
52,12:45-13:00,2428.785481,49.78,-98.58,-75.94,419.42,0,0,0,0,2723.465481
53,13:00-13:15,2417.873067,49.78,-98.58,-74.6,478.37,0,0,0,0,2772.843067
54,13:15-13:30,2417.546678,49.78,-98.58,-70.49,512.2,0,0,0,0,2810.456678
55,13:30-13:45,2411.020681,48.71,-98.58,-66.11,461.55,0,0,0,0,2756.590681
56,13:45-14:00,2188.977988,49.78,-98.58,-58.19,412.56,0,0,0,0,2494.547988
57,14:00-14:15,2095.780708,49.78,-98.58,-46.55,392.26,0,0,0,0,2392.690708
58,14:15-14:30,2315.854926,49.78,-98.58,-37,388.4,0,0,0,0,2618.454926
59,14:30-14:45,2403.098631,49.78,-98.58,-25.47,458.94,0,0,0,0,2787.768631
60,14:45-15:00,2417.501411,42.41,-98.58,-11.75,514.56,0,0,0,0,2864.141411
61,15:00-15:15,2421.635669,45.75,-98.58,3.36,396.22,0,0,0,0,2768.385669
62,15:15-15:30,2421.895908,48.17,-98.58,24.71,407.82,0,0,0,0,2804.015908
63,15:30-15:45,2430.388245,44.45,-98.58,48.81,450.34,0,0,0,0,2875.408245
64,15:45-16:00,2441.78213,44.98,-98.58,75.64,544.08,0,0,0,0,3007.90213
65,16:00-16:15,2463.866646,43.6,-98.58,104.97,643.62,0,0,0,0,3157.476646
66,16:15-16:30,2528.673302,46.2,-98.58,132.77,773.12,0,0,0,0,3382.183302
67,16:30-16:45,2547.273988,43.08,-98.58,181.55,792.45,0,0,0,0,3465.773988
68,16:45-17:00,2647.20388,43.08,-98.58,216.32,770.22,0,0,0,0,3578.24388
69,17:00-17:15,2740.593565,43.08,-98.58,242.58,161.45,0,0,0,0,3089.123565
70,17:15-17:30,2828.96097,43.08,-98.58,276.34,-32.8,0,0,0,0,3017.00097
71,17:30-17:45,2888.070468,43.08,-98.58,323.56,-32.8,0,0,0,0,3123.330468
72,17:45-18:00,3027.036104,43.08,-98.58,362.7,-32.8,0,0,0,0,3301.436104
73,18:00-18:15,3070.941841,43.08,-98.58,369.87,-32.8,0,0,0,0,3352.511841
74,18:15-18:30,3088.471897,43.08,-98.58,376.85,-32.8,0,0,0,0,3377.021897
75,18:30-18:45,3087.763665,43.08,-98.58,376.88,-32.8,0,0,0,0,3376.343665
76,18:45-19:00,2890.401746,43.08,-98.58,376.88,-32.8,0,0,0,0,3178.981746
77,19:00-19:15,2913.420473,43.08,-98.58,376.88,-35.91,0,0,0,0,3198.890473
78,19:15-19:30,2765.556309,43.08,-98.58,350.28,-35.91,0,0,0,0,3024.426309
79,19:30-19:45,2636.739736,43.08,-98.58,323.69,-35.91,0,0,0,0,2869.019736
80,19:45-20:00,2320.796415,43.08,-98.58,311.6,-35.91,0,0,0,0,2540.986415
81,20:00-20:15,2237.127235,49.78,-98.58,297.09,-107.31,0,0,0,0,2378.107235
82,20:15-20:30,2277.96044,49.78,-98.58,297.09,-296.67,0,0,0,0,2229.58044
83,20:30-20:45,2253.210628,48.53,-98.58,297.09,-475.68,0,0,0,0,2024.570628
84,20:45-21:00,2236.93365,49.57,-98.58,297.09,-682.64,0,0,0,0,1802.37365
85,21:00-21:15,2201.86607,49.78,-98.58,297.09,-753.31,0,0,0,0,1696.84607
86,21:15-21:30,2201.86607,49.78,-98.58,297.09,-786.42,0,0,0,0,1663.73607
87,21:30-21:45,2201.239251,49.78,-98.58,297.09,-898.18,0,0,0,0,1551.349251
88,21:45-22:00,2201.021718,49.12,-98.58,297.09,-817.31,0,0,0,0,1631.341718
89,22:00-22:15,2201.348107,49.78,-98.58,297.09,-650.8,0,0,0,0,1798.838107
90,22:15-22:30,2201.348107,49.78,-98.58,297.09,-228.97,0,0,0,0,2220.668107
91,22:30-22:45,2171.391788,49.78,-98.58,297.09,-149.33,0,0,0,0,2270.351788
92,22:45-23:00,2171.391788,49.78,-98.58,297.09,75.48,0,0,0,0,2495.161788
93,23:00-23:15,2162.379373,49.78,-98.58,297.09,80.5,0,0,0,0,2491.169373
94,23:15-23:30,2162.596906,46.43,-98.58,297.09,80.5,0,0,0,0,2488.036906
95,23:30-23:45,2147.910807,48.12,-98.58,297.09,80.5,0,0,0,0,2475.040807
96,23:45-24:00,2146.973239,49.78,-98.58,297.09,80.5,0,0,0,0,2475.763239
,MWHR,56480.12443,1133.2975,-1061.28,5105.1825,-1679.2725,0,0,0,0,59978.05193
,Maximum,3142.790751,49.78,191.34,376.88,792.45,0,0,0,0,3578.24388
,Minimum,897.835552,39.65,-98.58,-75.94,-1580.68,0,0,0,0,978.073322
,Average,2353.338518,47.220729,-44.22,212.715938,-69.969688,0,0,0,0,2499.085497
