Time Block,Time Desc,ISGS,MTOA,STOA,LTA,IEX,PXI,URS,RRAS,SCED,Net Total
1,00:00-00:15,2294.428189,44.9,-100.2,296.24,88.57,0,0,0,0,2623.938189
2,00:15-00:30,2257.918896,44.9,-100.2,296.24,88.57,0,0,0,0,2587.428896
3,00:30-00:45,2272.980014,44.9,-100.2,296.24,88.57,0,0,0,0,2602.490014
4,00:45-01:00,2306.047492,44.9,-100.2,296.24,88.57,0,0,0,0,2635.557492
5,01:00-01:15,2162.635691,44.9,-100.2,296.24,88.57,0,0,0,0,2492.145691
6,01:15-01:30,1994.518667,44.9,-100.2,296.24,88.57,0,0,0,0,2324.028667
7,01:30-01:45,1555.660135,44.9,-100.2,296.24,88.57,0,0,0,0,1885.170135
8,01:45-02:00,1726.112129,44.9,-100.2,296.24,88.57,0,0,0,0,2055.622129
9,02:00-02:15,1799.908558,44.9,-100.2,296.24,90.5,0,0,0,0,2131.348558
10,02:15-02:30,1799.474806,44.9,-100.2,296.24,90.5,0,0,0,0,2130.914806
11,02:30-02:45,1795.394815,44.9,-100.2,296.24,90.5,0,0,0,0,2126.834815
12,02:45-03:00,1999.472231,44.9,-100.2,296.24,90.5,0,0,0,0,2330.912231
13,03:00-03:15,1952.078097,44.9,-100.2,296.24,90.5,0,0,0,0,2283.518097
14,03:15-03:30,1897.172188,44.9,-100.2,296.24,90.5,0,0,0,0,2228.612188
15,03:30-03:45,1412.114703,44.9,-100.2,296.24,90.5,0,0,0,0,1743.554703
16,03:45-04:00,1370.675569,44.9,-100.2,296.24,-91.41,0,0,0,0,1520.205569
17,04:00-04:15,989.435901,44.9,-100.2,296.24,-176.12,0,0,0,0,1054.255901
18,04:15-04:30,1050.608155,44.9,-100.2,296.24,-134.56,0,0,0,0,1156.988155
19,04:30-04:45,1263.00725,44.78,-100.2,296.24,-131.16,0,0,0,0,1372.66725
20,04:45-05:00,1423.931647,44.45,-100.2,296.24,-222.27,0,0,0,0,1442.151647
21,05:00-05:15,1431.950489,44.14,-100.2,296.24,-295.97,0,0,0,0,1376.160489
22,05:15-05:30,1982.279989,43.79,-100.2,296.24,-102.14,0,0,0,0,2119.969989
23,05:30-05:45,2083.833995,43.53,-100.2,322.75,-32.7,0,0,0,0,2317.213995
24,05:45-06:00,2543.974476,43.28,-100.2,349.25,88.57,0,0,0,0,2924.874476
25,06:00-06:15,2789.135589,43.55,-100.2,375.76,14.58,0,0,0,0,3122.825589
26,06:15-06:30,2940.034939,43.32,-100.2,375.76,-594.17,0,0,0,0,2664.744939
27,06:30-06:45,2962.249338,43.73,189.24,375.76,-532.36,0,0,0,0,3038.619338
28,06:45-07:00,2961.530325,44.1,189.24,375.76,-688.75,0,0,0,0,2881.880325
