Time Block,Time Desc,ISGS,MTOA,STOA,LTA,IEX,PXI,URS,RRAS,SCED,Net Total
1,00:00-00:15,1804.987214,29.77,-83.66,298.26,114.73,0,0,0,0,2164.087214
2,00:15-00:30,1755.426077,29.77,-89.42,298.26,114.73,0,0,0,0,2108.766077
3,00:30-00:45,1814.973418,29.77,-94.23,298.26,114.63,0,0,0,0,2163.403418
4,00:45-01:00,1853.382388,29.77,-99.52,298.26,114.92,0,0,0,0,2196.812388
5,01:00-01:15,1853.379738,29.77,-99.52,298.26,115.5,0,0,0,0,2197.389738
6,01:15-01:30,1715.350002,29.77,-99.52,298.26,115.31,0,0,0,0,2059.170002
7,01:30-01:45,1590.361633,29.77,-99.52,298.26,115.6,0,0,0,0,1934.471633
8,01:45-02:00,1580.076906,29.77,-99.52,298.26,115.79,0,0,0,0,1924.376906
9,02:00-02:15,1079.855808,29.77,-99.52,298.26,115.6,0,0,0,0,1423.965808
10,02:15-02:30,1390.462599,29.77,-99.52,298.26,116.18,0,0,0,0,1735.152599
11,02:30-02:45,1386.413904,29.77,-99.52,298.26,116.38,0,0,0,0,1731.303904
12,02:45-03:00,1196.027461,29.77,-99.52,298.26,116.96,0,0,0,0,1541.497461
13,03:00-03:15,1032.150998,29.77,-99.52,279.08,117.64,0,0,0,0,1359.120998
14,03:15-03:30,992.591783,29.77,-99.52,279.08,117.83,0,0,0,0,1319.751783
15,03:30-03:45,980.034989,29.77,-99.52,279.08,118.02,0,0,0,0,1307.384989
16,03:45-04:00,969.835572,29.77,-99.52,279.08,117.73,0,0,0,0,1296.895572
17,04:00-04:15,922.598077,29.77,-99.52,279.08,53.36,0,0,0,0,1185.288077
18,04:15-04:30,894.7532,29.77,-99.52,279.08,-46.91,0,0,0,0,1057.1732
19,04:30-04:45,853.526082,29.77,-99.52,279.08,88.21,0,0,0,0,1151.066082
20,04:45-05:00,777.490395,29.77,-99.52,279.08,11.94,0,0,0,0,998.760395
21,05:00-05:15,943.901767,29.77,-99.52,298.26,-167.22,0,0,0,0,1005.191767
22,05:15-05:30,1504.546161,29.77,-99.52,298.26,-225.69,0,0,0,0,1507.366161
23,05:30-05:45,1920.84599,29.77,-99.52,325.05,-31.67,0,0,0,0,2144.47599
24,05:45-06:00,2072.721159,29.77,-99.52,351.82,74.84,0,0,0,0,2429.631159
25,06:00-06:15,2464.335749,29.77,-99.52,378.61,85.42,0,0,0,0,2858.615749
26,06:15-06:30,2716.758561,29.77,-99.52,378.61,107.65,0,0,0,0,3133.268561
27,06:30-06:45,3006.635948,29.77,191.42,378.61,-494.1,0,0,0,0,3112.335948
28,06:45-07:00,3113.356285,29.77,191.42,378.61,-435.52,0,0,0,0,3277.636285
29,07:00-07:15,2897.756272,29.77,191.42,378.54,-356.7,0,0,0,0,3140.786272
30,07:15-07:30,3097.84321,29.77,191.42,377.32,-326.9,0,0,0,0,3369.45321
31,07:30-07:45,3051.843887,29.77,191.42,343.68,-191.83,0,0,0,0,3424.883887
32,07:45-08:00,2984.747809,29.77,191.42,310.76,-51.59,0,0,0,0,3465.107809
33,08:00-08:15,2926.567458,29.77,191.42,271.9,11.06,0,0,0,0,3430.717458
34,08:15-08:30,2923.962496,29.77,191.42,256.64,11.06,0,0,0,0,3412.852496
35,08:30-08:45,2936.830724,29.77,191.42,228.61,11.06,0,0,0,0,3397.690724
36,08:45-09:00,2880.824054,29.77,191.42,202.52,11.06,0,0,0,0,3315.594054
37,09:00-09:15,2864.682078,29.77,191.42,170.83,11.06,0,0,0,0,3267.762078
38,09:15-09:30,2828.251076,29.77,191.42,152.47,11.06,0,0,0,0,3212.971076
39,09:30-09:45,2547.766448,29.77,191.42,130.83,11.06,0,0,0,0,2910.846448
40,09:45-10:00,2257.928187,29.77,191.42,104.74,11.06,0,0,0,0,2594.918187
41,10:00-10:15,2225.888215,29.77,191.42,82.62,11.06,0,0,0,0,2540.758215
42,10:15-10:30,2337.325054,29.77,191.42,63.58,11.06,0,0,0,0,2633.155054
43,10:30-10:45,2320.908755,29.77,191.42,45.83,11.06,0,0,0,0,2598.988755
44,10:45-11:00,2314.311356,29.77,191.42,28.69,11.06,0,0,0,0,2575.251356
45,11:00-11:15,2683.776216,29.77,-99.52,13.42,11.06,0,0,0,0,2638.506216
46,11:15-11:30,2680.89911,29.77,-99.52,-8.12,204.05,0,0,0,0,2807.07911
47,11:30-11:45,2668.808375,29.77,-99.52,-19.37,185.62,0,0,0,0,2765.308375
48,11:45-12:00,2665.521599,29.77,-99.52,-38.71,161.37,0,0,0,0,2718.431599
49,12:00-12:15,2650.291558,29.77,-99.52,-46.8,224.8,0,0,0,0,2758.541558
50,12:15-12:30,2586.696107,29.77,-99.52,-51.97,489.17,0,0,0,0,2954.146107
51,12:30-12:45,2538.584391,29.77,-99.52,-50.58,473.65,0,0,0,0,2891.904391
52,12:45-13:00,2271.524814,29.77,-99.52,-55.33,472.1,0,0,0,0,2618.544814
53,13:00-13:15,2264.287116,29.77,-99.52,-55.26,621.84,0,0,0,0,2761.117116
54,13:15-13:30,2200.891615,29.77,-99.52,-57.33,619.9,0,0,0,0,2693.711615
55,13:30-13:45,2181.049391,29.77,-99.52,-52.01,547.21,0,0,0,0,2606.499391
56,13:45-14:00,2256.432443,29.77,-99.52,-40.57,588.86,0,0,0,0,2734.972443
57,14:00-14:15,2250.073775,29.77,-99.52,-32.36,623.78,0,0,0,0,2771.743775
58,14:15-14:30,2249.815674,29.77,-99.52,-25.52,681.96,0,0,0,0,2836.505674
59,14:30-14:45,2265.101717,29.77,-99.52,-14.81,745,0,0,0,0,2925.541717
60,14:45-15:00,2255.012081,29.77,-99.52,-6.81,806.96,0,0,0,0,2985.412081
61,15:00-15:15,2259.862311,29.77,-99.52,14.76,780.18,0,0,0,0,2985.052311
62,15:15-15:30,2269.701378,29.77,-99.52,40.43,693.6,0,0,0,0,2933.981378
63,15:30-15:45,2126.122706,29.77,-99.52,58.06,706.21,0,0,0,0,2820.642706
64,15:45-16:00,2322.086173,29.77,-99.52,82.55,712.1,0,0,0,0,3046.986173
65,16:00-16:15,2451.061968,29.77,-99.52,103.7,550.26,0,0,0,0,3035.271968
66,16:15-16:30,2472.303017,29.77,-99.52,134.27,610.39,0,0,0,0,3147.213017
67,16:30-16:45,2519.046917,29.77,-99.52,158.84,598.75,0,0,0,0,3206.886917
68,16:45-17:00,2434.896829,29.77,-99.52,190.67,522.14,0,0,0,0,3077.956829
69,17:00-17:15,2524.661057,29.77,-99.52,219.97,12.03,0,0,0,0,2686.911057
70,17:15-17:30,2599.54444,29.77,-99.52,274.77,12.03,0,0,0,0,2816.59444
71,17:30-17:45,2661.156803,29.77,-99.52,319.58,12.03,0,0,0,0,2923.016803
72,17:45-18:00,2773.824969,29.77,-99.52,360.13,12.03,0,0,0,0,3076.234969
73,18:00-18:15,3045.192897,29.77,-99.52,367.26,12.03,0,0,0,0,3354.732897
74,18:15-18:30,3085.759397,29.77,-99.52,372.31,12.03,0,0,0,0,3400.349397
75,18:30-18:45,3037.49815,29.77,-99.52,378.54,12.03,0,0,0,0,3358.31815
76,18:45-19:00,2974.768392,29.77,-99.52,378.61,12.03,0,0,0,0,3295.658392
77,19:00-19:15,2884.160233,29.77,-99.52,378.61,12.03,0,0,0,0,3205.050233
78,19:15-19:30,2731.222176,29.77,-99.52,351.82,12.03,0,0,0,0,3025.322176
79,19:30-19:45,2627.387266,29.77,-99.52,325.05,12.03,0,0,0,0,2894.717266
80,19:45-20:00,2557.849183,29.77,-99.52,298.26,12.03,0,0,0,0,2798.389183
81,20:00-20:15,2538.326229,29.77,-99.52,298.26,-337.53,0,0,0,0,2429.306229
82,20:15-20:30,2514.017122,29.77,-99.52,298.26,-538.6,0,0,0,0,2203.927122
83,20:30-20:45,2514.031239,29.77,-99.52,298.26,-628.31,0,0,0,0,2114.231239
84,20:45-21:00,2526.134438,29.77,-99.52,298.26,-926.02,0,0,0,0,1828.624438
85,21:00-21:15,2470.705302,29.77,-99.52,298.26,-1030.41,0,0,0,0,1668.805302
86,21:15-21:30,2474.164255,29.77,-99.52,298.26,-852.48,0,0,0,0,1850.194255
87,21:30-21:45,2477.476453,29.77,-99.52,298.26,-493.67,0,0,0,0,2212.316453
88,21:45-22:00,2478.468659,29.77,-99.52,298.26,-428.71,0,0,0,0,2278.268659
89,22:00-22:15,2557.308327,29.77,-99.52,298.26,109.1,0,0,0,0,2894.918327
90,22:15-22:30,2557.383144,29.77,-99.52,298.26,109.1,0,0,0,0,2894.993144
91,22:30-22:45,2534.691147,29.77,-99.52,298.26,108.91,0,0,0,0,2872.111147
92,22:45-23:00,2535.253608,29.77,-99.52,298.26,108.52,0,0,0,0,2872.283608
93,23:00-23:15,2526.156815,29.77,-99.52,298.26,109.1,0,0,0,0,2863.766815
94,23:15-23:30,2526.156815,29.77,-99.52,298.26,108.71,0,0,0,0,2863.376815
95,23:30-23:45,2526.156815,29.77,-99.52,298.26,108.23,0,0,0,0,2862.896815
96,23:45-24:00,2526.156815,29.77,-99.52,298.26,108.13,0,0,0,0,2862.796815
,MWHR,54723.41909,714.48,-1071.4375,5196.8425,2123.2375,0,0,0,0,61686.54159
,Maximum,3113.356285,29.77,191.42,378.61,806.96,0,0,0,0,3465.107809
,Minimum,777.490395,29.77,-99.52,-57.33,-1030.41,0,0,0,0,998.760395
,Average,2280.142462,29.77,-44.643229,216.535104,88.468229,0,0,0,0,2570.272566
