Time Block,Time Desc,ISGS,MTOA,STOA,LTA,IEX,PXI,URS,RRAS,SCED,Net Total
1,00:00-00:15,1987.123019,33.56,-267.73,297.05,103.32,0,0,0,0,2153.323019
2,00:15-00:30,1697.632265,33.56,-267.73,297.05,103.41,0,0,0,0,1863.922265
3,00:30-00:45,1446.664243,33.56,-267.73,297.05,103.41,0,0,0,0,1612.954243
4,00:45-01:00,1437.290986,33.56,-267.73,297.05,103.7,0,0,0,0,1603.870986
5,01:00-01:15,1291.776517,33.56,-267.73,297.05,104,0,0,0,0,1458.656517
6,01:15-01:30,950.552,33.56,-267.73,297.05,104.38,0,0,0,0,1117.812
7,01:30-01:45,901.013644,33.56,-267.73,297.05,104.77,0,0,0,0,1068.663644
8,01:45-02:00,920.28827,33.56,-267.73,297.05,104.87,0,0,0,0,1088.03827
9,02:00-02:15,1048.738275,33.56,-267.73,297.05,105.35,0,0,0,0,1216.968275
10,02:15-02:30,1159.708473,33.56,-267.73,297.05,105.54,0,0,0,0,1328.128473
11,02:30-02:45,931.275693,33.56,-267.73,297.05,106.13,0,0,0,0,1100.285693
12,02:45-03:00,916.66558,33.56,-267.73,297.05,105.74,0,0,0,0,1085.28558
13,03:00-03:15,919.039753,33.56,-267.73,297.05,106.13,0,0,0,0,1088.049753
14,03:15-03:30,748.423356,33.56,-267.73,297.05,105.93,0,0,0,0,917.233356
15,03:30-03:45,564.649367,33.56,-267.73,297.05,106.13,0,0,0,0,733.659367
16,03:45-04:00,554.624726,33.56,-267.73,297.05,106.03,0,0,0,0,723.534726
17,04:00-04:15,553.462209,33.56,-267.73,297.05,105.93,0,0,0,0,722.272209
18,04:15-04:30,613.365944,33.56,-267.73,297.05,106.13,0,0,0,0,782.375944
19,04:30-04:45,615.792888,33.56,-267.73,297.05,105.45,0,0,0,0,784.122888
20,04:45-05:00,629.705624,33.56,-267.73,297.05,104.29,0,0,0,0,796.875624
21,05:00-05:15,1205.121438,33.56,-267.73,297.05,59.39,0,0,0,0,1327.391438
22,05:15-05:30,1202.161925,33.56,-267.73,311.61,48.6,0,0,0,0,1328.201925
23,05:30-05:45,1390.754086,33.56,-267.73,323.76,102.06,0,0,0,0,1582.404086
24,05:45-06:00,1621.998685,33.56,-267.73,350.44,101.96,0,0,0,0,1840.228685
25,06:00-06:15,2283.625365,33.56,-52.92,377.15,87.24,0,0,0,0,2728.655365
26,06:15-06:30,2339.920618,33.56,-52.92,377.15,55.96,0,0,0,0,2753.670618
27,06:30-06:45,2540.583002,33.56,-52.92,377.15,-375.51,0,0,0,0,2522.863002
28,06:45-07:00,2720.677487,33.56,-52.92,377.15,-245.57,0,0,0,0,2832.897487
29,07:00-07:15,2737.565769,40.27,-52.92,377.07,8.71,0,0,0,0,3110.695769
30,07:15-07:30,2729.8392,45.07,-52.92,376,8.71,0,0,0,0,3106.6992
31,07:30-07:45,2722.229076,45.07,-52.92,340.52,144.46,0,0,0,0,3199.359076
32,07:45-08:00,2662.152804,45.07,-52.92,302.82,639.26,0,0,0,0,3596.382804
33,08:00-08:15,2615.166976,45.07,-52.92,278.82,1141.32,0,0,0,0,4027.456976
34,08:15-08:30,2573.799675,45.07,-52.92,259.53,1186.83,0,0,0,0,4012.309675
35,08:30-08:45,2583.159637,45.07,-52.92,232.5,1184.9,0,0,0,0,3992.709637
36,08:45-09:00,2530.107517,45.07,-52.92,201.32,1290.44,0,0,0,0,4014.017517
37,09:00-09:15,1722.975598,45.07,-52.92,156.37,1560.6,0,0,0,0,3432.095598
38,09:15-09:30,1895.5735,45.07,-52.92,127.26,1557.69,0,0,0,0,3572.6735
39,09:30-09:45,2249.810888,45.07,-52.92,101.43,1552.85,0,0,0,0,3896.240888
40,09:45-10:00,2405.63484,45.07,-52.92,77.28,1432.78,0,0,0,0,3907.84484
41,10:00-10:15,2180.244733,45.07,-52.92,55.84,1307.87,0,0,0,0,3536.104733
42,10:15-10:30,2097.64102,45.07,-52.92,34.49,1349.51,0,0,0,0,3473.79102
43,10:30-10:45,2313.065143,45.07,-52.92,17.2,1249.77,0,0,0,0,3572.185143
44,10:45-11:00,2406.923823,45.07,-52.92,-1.66,1064.83,0,0,0,0,3462.243823
45,11:00-11:15,2406.923823,45.07,-52.92,-12.19,937.8,0,0,0,0,3324.683823
46,11:15-11:30,2220.047756,45.07,-52.92,-26.91,738.33,0,0,0,0,2923.617756
47,11:30-11:45,2094.506068,45.07,-52.92,-38.42,532.08,0,0,0,0,2580.316068
48,11:45-12:00,1848.142515,45.07,-52.92,-52.26,377.15,0,0,0,0,2165.182515
49,12:00-12:15,2074.881154,45.07,-52.92,-57.32,326.8,0,0,0,0,2336.511154
50,12:15-12:30,2160.033138,45.07,-52.92,-61.48,290.01,0,0,0,0,2380.713138
51,12:30-12:45,2258.705748,45.07,-52.92,-61.3,249.34,0,0,0,0,2438.895748
52,12:45-13:00,2303.477642,45.07,-52.92,-64.12,196.08,0,0,0,0,2427.587642
53,13:00-13:15,2369.090659,45.07,-52.92,-61.9,47.35,0,0,0,0,2346.690659
54,13:15-13:30,2309.976216,45.07,-52.92,-58.92,50.06,0,0,0,0,2293.266216
55,13:30-13:45,2195.149188,45.07,-52.92,-56.06,61,0,0,0,0,2192.239188
56,13:45-14:00,2397.897714,45.07,-52.92,-48.39,61,0,0,0,0,2402.657714
57,14:00-14:15,2409.336729,45.07,-52.92,-38.56,82.31,0,0,0,0,2445.236729
58,14:15-14:30,2408.899967,45.07,-52.92,-25.51,82.31,0,0,0,0,2457.849967
59,14:30-14:45,2426.251101,45.07,-52.92,-12.66,82.31,0,0,0,0,2488.051101
60,14:45-15:00,2421.106426,45.07,-52.92,3.27,82.31,0,0,0,0,2498.836426
61,15:00-15:15,2445.48594,45.07,-52.92,21.38,76.5,0,0,0,0,2535.51594
62,15:15-15:30,2445.48594,45.07,-52.92,44.56,62.84,0,0,0,0,2545.03594
63,15:30-15:45,2459.502599,45.07,-52.92,66.38,57.03,0,0,0,0,2575.062599
64,15:45-16:00,2459.502599,45.07,-52.92,89.73,57.03,0,0,0,0,2598.412599
65,16:00-16:15,2451.226352,45.07,-52.92,120,5.33,0,44.460013,0,0,2613.166365
66,16:15-16:30,2516.221695,45.07,-52.92,153.55,5.33,0,50.341795,0,0,2717.59349
67,16:30-16:45,2566.846,45.07,-52.92,184.49,5.33,0,44.460013,0,0,2793.276013
68,16:45-17:00,2640.821522,45.07,-52.92,215.79,5.33,0,44.460013,0,0,2898.551535
69,17:00-17:15,2775.081076,45.07,-52.92,257.54,1.45,0,0,0,0,3026.221076
70,17:15-17:30,2805.210967,45.07,-52.92,288.61,1.45,0,0,0,0,3087.420967
71,17:30-17:45,2884.481625,45.07,-52.92,329.2,1.45,0,0,0,0,3207.281625
72,17:45-18:00,2994.7098,45.07,-52.92,365.79,1.45,0,0,0,0,3354.0998
73,18:00-18:15,3020.048125,45.07,-52.92,371.58,1.45,0,0,0,0,3385.228125
74,18:15-18:30,3022.703646,45.07,-52.92,377.14,1.45,0,0,0,0,3393.443646
75,18:30-18:45,2957.335345,45.07,-52.92,377.15,1.45,0,0,0,0,3328.085345
76,18:45-19:00,2932.727088,45.07,-52.92,377.15,1.45,0,0,0,0,3303.477088
77,19:00-19:15,2832.852874,45.07,-52.92,377.15,-511.82,0,0,0,0,2690.332874
78,19:15-19:30,2720.456287,45.07,-52.92,350.44,-545.9,0,0,0,0,2517.146287
79,19:30-19:45,2646.484387,45.07,-52.92,323.76,-655.37,0,0,0,0,2307.024387
80,19:45-20:00,2575.150262,45.07,-52.92,311.61,-765.87,0,0,0,0,2113.040262
81,20:00-20:15,2511.297086,45.07,-52.92,311.61,-1050.91,0,0,0,0,1764.147086
82,20:15-20:30,2500.565889,45.07,-52.92,297.05,-1121.14,0,0,0,0,1668.625889
83,20:30-20:45,2487.498732,45.07,-52.92,297.05,-1325.66,0,0,0,0,1451.038732
84,20:45-21:00,2481.454513,45.07,-52.92,297.05,-1447.13,0,0,0,0,1323.524513
85,21:00-21:15,2477.313172,45.07,-52.92,297.05,-1408.99,0,0,0,0,1357.523172
86,21:15-21:30,2431.193729,45.07,-52.92,297.05,-1509.63,0,0,0,0,1210.763729
87,21:30-21:45,2402.611395,45.07,-52.92,297.05,-1580.64,0,0,0,0,1111.171395
88,21:45-22:00,2402.920626,45.07,-52.92,297.05,-1245.92,0,0,0,0,1446.200626
89,22:00-22:15,2415.970446,38.35,-267.73,297.05,-261.69,0,0,0,0,2221.950446
90,22:15-22:30,2394.426064,33.56,-267.73,297.05,77.79,0,0,0,0,2535.096064
91,22:30-22:45,2315.620455,33.56,-267.73,297.05,97.02,0,0,0,0,2475.520455
92,22:45-23:00,2218.137015,33.56,-267.73,297.05,96.35,0,0,0,0,2377.367015
93,23:00-23:15,2113.482796,33.56,-267.73,297.05,95.96,0,0,0,0,2272.322796
94,23:15-23:30,1993.535367,33.56,-267.73,297.05,95.57,0,0,0,0,2151.985367
95,23:30-23:45,2058.285411,33.56,-267.73,297.05,96.06,0,0,0,0,2217.225411
96,23:45-24:00,2114.986888,33.56,-267.73,297.05,96.06,0,0,0,0,2273.926888
,MWHR,50348.6463,978.0875,-2988.56,5191.72,2580.5,0,45.930458,0,0,56156.32426
,Maximum,3022.703646,45.07,-52.92,377.15,1560.6,0,50.341795,0,0,4027.456976
,Minimum,553.462209,33.56,-267.73,-64.12,-1580.64,0,0,0,0,722.272209
,Average,2097.860262,40.753646,-124.523333,216.321667,107.520833,0,1.913769,0,0,2339.846844
