Time Block,Time Desc,ISGS,MTOA,STOA,LTA,IEX,PXI,URS,RRAS,SCED,Net Total
1,00:00-00:15,1216.82684,41.27,-80.99,296.47,77.38,0,0,0,0,1550.95684
2,00:15-00:30,892.193334,41.39,-84.33,296.47,77.38,0,0,0,0,1223.103334
3,00:30-00:45,924.385842,41.36,-87.24,296.47,77.38,0,0,0,0,1252.355842
4,00:45-01:00,949.040379,41.35,-92.08,296.47,77.38,0,0,0,0,1272.160379
5,01:00-01:15,774.927096,41.34,-96.93,296.47,77.38,0,0,0,0,1093.187096
6,01:15-01:30,667.505387,41.32,-98.87,296.47,77.38,0,0,0,0,983.805387
7,01:30-01:45,657.612187,41.34,-98.87,296.47,77.38,0,0,0,0,973.932187
8,01:45-02:00,657.422279,41.32,-98.87,296.47,77.38,0,0,0,0,973.722279
9,02:00-02:15,658.464669,41.22,-98.87,296.47,77.38,0,0,0,0,974.664669
10,02:15-02:30,657.532555,41.2,-98.87,296.47,77.38,0,0,0,0,973.712555
11,02:30-02:45,626.254577,41.19,-98.87,296.47,77.38,0,0,0,0,942.424577
12,02:45-03:00,623.600472,41.21,-98.87,296.47,77.38,0,0,0,0,939.790472
13,03:00-03:15,640.401297,38.66,-98.87,296.47,77.47,0,0,0,0,954.131297
14,03:15-03:30,650.11766,38.59,-98.87,296.47,77.47,0,0,0,0,963.77766
15,03:30-03:45,653.514564,38.67,-98.87,296.47,77.67,0,0,0,0,967.454564
16,03:45-04:00,654.230338,38.52,-98.87,296.47,77.67,0,0,0,0,968.020338
17,04:00-04:15,594.867007,38.62,-98.87,296.47,77.86,0,0,0,0,908.947007
18,04:15-04:30,580.334527,38.76,-98.87,296.47,77.86,0,0,0,0,894.554527
19,04:30-04:45,570.348331,38.89,-98.87,296.47,77.86,0,0,0,0,884.698331
20,04:45-05:00,544.737736,39.16,-98.87,296.47,77.96,0,0,0,0,859.457736
21,05:00-05:15,594.819519,39.24,-98.87,296.47,-66.67,0,0,0,0,764.989519
22,05:15-05:30,676.76379,39.5,-98.87,310.89,-189.66,0,0,0,0,738.62379
