Time Block,Time Desc,ISGS,MTOA,STOA,LTA,IEX,PXI,URS,RRAS,SCED,Net Total
1,00:00-00:15,1645.571645,44.9,-96.65,296.24,125.52,0,0,0,0,2015.581645
2,00:15-00:30,1763.299648,44.9,-92.79,296.24,125.52,0,0,0,0,2137.169648
3,00:30-00:45,1681.329187,44.9,-88.92,296.24,125.13,0,0,0,0,2058.679187
4,00:45-01:00,1537.722211,44.9,-85.05,296.24,125.52,0,0,0,0,1919.332211
5,01:00-01:15,1403.702788,44.9,-81.19,296.24,127.84,0,0,0,0,1791.492788
6,01:15-01:30,1359.715814,44.9,-79.95,296.24,127.84,0,0,0,0,1748.745814
7,01:30-01:45,1494.556155,44.9,-79.95,296.24,-414.02,0,0,0,0,1341.726155
8,01:45-02:00,1476.581901,44.9,-79.95,296.24,127.84,0,0,0,0,1865.611901
9,02:00-02:15,1187.852953,44.9,-79.95,296.24,127.84,0,0,0,0,1576.882953
10,02:15-02:30,1201.993852,44.9,-79.95,296.24,127.84,0,0,0,0,1591.023852
11,02:30-02:45,1246.243276,44.9,-79.95,296.24,127.84,0,0,0,0,1635.273276
12,02:45-03:00,1124.909833,44.9,-79.95,296.24,127.64,0,0,0,0,1513.739833
13,03:00-03:15,958.745027,44.9,-79.95,277.19,127.64,0,0,0,0,1328.525027
14,03:15-03:30,923.498947,44.9,-79.95,277.19,-127.8,0,0,0,0,1037.838947
15,03:30-03:45,901.097125,44.9,-79.95,277.19,14.57,0,0,0,0,1157.807125
16,03:45-04:00,901.552082,44.9,-79.95,277.19,-42.14,0,0,0,0,1101.552082
17,04:00-04:15,929.585878,44.9,-79.95,277.19,-113.51,0,0,0,0,1058.215878
18,04:15-04:30,929.626115,44.9,-79.95,277.19,-285.88,0,0,0,0,885.886115
19,04:30-04:45,1030.776504,44.9,-79.95,277.19,-384.92,0,0,0,0,887.996504
20,04:45-05:00,1055.516571,44.9,-79.95,277.19,-355.81,0,0,0,0,941.846571
21,05:00-05:15,958.695944,44.9,-79.95,296.24,-386.85,0,0,0,0,833.035944
22,05:15-05:30,1006.335363,44.9,-79.95,296.24,119.27,0,0,0,0,1386.795363
23,05:30-05:45,1290.727475,44.9,-79.95,318.41,125.71,0,0,0,0,1699.797475
24,05:45-06:00,1719.057868,44.9,-79.95,344.91,123.78,0,0,0,0,2152.697868
25,06:00-06:15,2202.645207,44.9,-79.95,370.93,117.51,0,0,0,0,2656.035207
26,06:15-06:30,2523.969505,44.9,-79.95,370.93,116.35,0,0,0,0,2976.199505
27,06:30-06:45,3111.385356,44.9,209.49,370.93,116.45,0,0,0,0,3853.155356
28,06:45-07:00,3189.31582,44.9,209.49,370.93,115.87,0,0,0,0,3930.50582
29,07:00-07:15,3184.380762,44.9,209.49,370.52,-120.44,0,0,0,0,3688.850762
30,07:15-07:30,3144.962654,44.9,209.49,369.06,20.22,0,0,0,0,3788.632654
31,07:30-07:45,2866.896234,44.9,209.49,334.02,65.54,0,0,0,0,3520.846234
32,07:45-08:00,2792.891196,44.9,209.49,300.36,55.48,0,0,0,0,3403.121196
33,08:00-08:15,2654.642075,44.9,209.49,261.85,36.95,0,0,0,0,3207.832075
34,08:15-08:30,2608.205432,44.9,209.49,243.03,33,0,0,0,0,3138.625432
35,08:30-08:45,2685.730449,44.9,209.49,214.61,33,0,0,0,0,3187.730449
36,08:45-09:00,2643.969778,43.02,209.49,188.05,41.87,0,0,0,0,3126.399778
37,09:00-09:15,2523.226096,44.9,209.49,153.24,41.87,0,0,0,0,2972.726096
38,09:15-09:30,2425.248308,44.9,209.49,126.98,33,0,0,0,0,2839.618308
39,09:30-09:45,2287.408546,44.9,209.49,100.32,38.74,0,0,0,0,2680.858546
40,09:45-10:00,2319.156933,44.9,209.49,78.09,33,0,0,0,0,2684.636933
41,10:00-10:15,2297.072693,44.9,209.49,53.25,46.5,0,0,0,0,2651.212693
42,10:15-10:30,2281.469743,44.9,209.49,31.37,46.5,0,0,0,0,2613.729743
43,10:30-10:45,2280.492654,44.9,209.49,13.45,47.4,0,0,0,0,2595.732654
44,10:45-11:00,2344.875154,44.9,209.49,-15.19,55.27,0,0,0,0,2639.345154
45,11:00-11:15,2416.224131,44.9,-79.95,-37.48,467.19,0,0,0,0,2810.884131
46,11:15-11:30,2364.695845,44.9,-79.95,-61.29,583.69,0,0,0,0,2852.045845
47,11:30-11:45,2350.589035,44.9,-79.95,-76.34,426.54,0,0,0,0,2665.739035
48,11:45-12:00,2351.830444,44.9,-79.95,-91.14,320.41,0,0,0,0,2546.050444
49,12:00-12:15,2358.644565,44.9,-79.95,-101.66,163.92,0,0,0,0,2385.854565
50,12:15-12:30,2411.482281,44.9,-79.95,-106.13,285.77,0,0,0,0,2556.072281
51,12:30-12:45,2489.177959,44.9,-79.95,-107.96,265.03,0,0,0,0,2611.197959
52,12:45-13:00,2510.311339,44.9,-79.95,-108.32,268.89,0,0,0,0,2635.831339
53,13:00-13:15,2509.442868,44.9,-79.95,-109.71,266,0,0,0,0,2630.682868
54,13:15-13:30,2509.442868,44.9,-79.95,-112.91,179.16,0,0,0,0,2540.642868
55,13:30-13:45,2395.159985,44.9,-79.95,-107.07,202.32,0,0,0,0,2455.359985
56,13:45-14:00,2398.410887,44.9,-79.95,-95.27,100.05,0,0,0,0,2368.140887
57,14:00-14:15,2385.862984,44.9,-79.95,-84.88,273.71,0,0,0,0,2539.642984
