Time Block,Time Desc,ISGS,MTOA,STOA,LTA,IEX,PXI,URS,RRAS,SCED,Net Total
1,00:00-00:15,990.772,42.57,-100.51,296.24,95.61,0,0,0,0,1324.682
2,00:15-00:30,605.732231,42.59,-100.51,296.24,95.61,0,0,0,0,939.662231
3,00:30-00:45,593.475871,42.64,-100.51,296.24,94.65,0,0,0,0,926.495871
4,00:45-01:00,612.164745,42.69,-100.51,296.24,95.71,0,0,0,0,946.294745
5,01:00-01:15,712.487972,42.71,-100.51,296.24,95.8,0,0,0,0,1046.727972
6,01:15-01:30,745.394011,42.65,-100.51,296.24,96.87,0,0,0,0,1080.644011
7,01:30-01:45,711.797661,42.49,-100.51,296.24,96.96,0,0,0,0,1046.977661
8,01:45-02:00,753.482943,42.55,-100.51,296.24,97.06,0,0,0,0,1088.822943
9,02:00-02:15,735.718206,42.71,-100.51,296.24,98.7,0,0,0,0,1072.858206
10,02:15-02:30,838.391678,42.74,-100.51,296.24,98.7,0,0,0,0,1175.561678
11,02:30-02:45,850.025663,42.79,-100.51,296.24,98.8,0,0,0,0,1187.345663
12,02:45-03:00,897.65354,42.85,-100.51,296.24,99.86,0,0,0,0,1236.09354
13,03:00-03:15,901.621181,42.96,-100.51,277.19,99.86,0,0,0,0,1221.121181
14,03:15-03:30,870.551549,42.99,-100.51,277.19,99.86,0,0,0,0,1190.081549
15,03:30-03:45,885.530714,42.99,-100.51,277.19,99.86,0,0,0,0,1205.060714
16,03:45-04:00,925.749293,42.99,-100.51,277.19,99.86,0,0,0,0,1245.279293
17,04:00-04:15,916.253557,40.83,-100.51,277.19,99.86,0,0,0,0,1233.623557
18,04:15-04:30,900.867834,40.21,-100.51,277.19,99.86,0,0,0,0,1217.617834
19,04:30-04:45,787.049722,39.48,-100.51,277.19,-41.38,0,0,0,0,961.829722
20,04:45-05:00,746.59763,39.68,-100.51,277.19,-91.95,0,0,0,0,871.00763
21,05:00-05:15,763.482132,39.95,-100.51,296.24,-17.88,0,0,0,0,981.282132
22,05:15-05:30,779.981243,40.19,-100.51,296.24,-59.4,0,0,0,0,956.501243
