Time Block,Time Desc,ISGS,MTOA,STOA,LTA,IEX,PXI,URS,RRAS,SCED,Net Total
1,00:00-00:15,2145.224213,44.99,-96.65,297.09,86.69,0,0,0,0,2477.344213
2,00:15-00:30,2147.786568,44.99,-93.75,297.09,86.69,0,0,0,0,2482.806568
3,00:30-00:45,2049.645696,44.99,-91.81,297.09,86.69,0,0,0,0,2386.605696
4,00:45-01:00,2041.50398,44.99,-88.92,297.09,86.69,0,0,0,0,2381.35398
5,01:00-01:15,2035.843313,44.99,-86.98,297.09,86.69,0,0,0,0,2377.633313
6,01:15-01:30,1892.162943,42.97,-84.09,297.09,86.69,0,0,0,0,2234.822943
7,01:30-01:45,1832.618204,44.99,-81.19,297.09,86.69,0,0,0,0,2180.198204
8,01:45-02:00,2052.601428,44.99,-80.75,297.09,86.69,0,0,0,0,2400.621428
9,02:00-02:15,2055.475874,44.99,-80.75,297.09,86.69,0,0,0,0,2403.495874
10,02:15-02:30,2046.909402,44.99,-80.75,297.09,86.69,0,0,0,0,2394.929402
11,02:30-02:45,1815.960512,43.39,-80.75,297.09,86.69,0,0,0,0,2162.380512
12,02:45-03:00,1851.882694,44.99,-80.75,297.09,86.69,0,0,0,0,2199.902694
13,03:00-03:15,1540.888518,43.32,-80.75,297.09,86.69,0,0,0,0,1887.238518
14,03:15-03:30,1609.540845,44.94,-80.75,297.09,86.69,0,0,0,0,1957.510845
15,03:30-03:45,1641.502111,44.6,-80.75,297.09,86.4,0,0,0,0,1988.842111
16,03:45-04:00,1644.900866,44.26,-80.75,268.44,86.4,0,0,0,0,1963.250866
17,04:00-04:15,1090.69458,43.76,-80.75,239.77,2.07,0,0,0,0,1295.54458
18,04:15-04:30,890.619314,41.97,-80.75,211.12,-65.71,0,0,0,0,997.249314
19,04:30-04:45,874.072344,43.05,-80.75,211.12,-140.41,0,0,0,0,907.082344
20,04:45-05:00,1176.80091,42.75,-80.75,239.77,17.28,0,0,0,0,1395.85091
21,05:00-05:15,1493.814214,42.45,-80.75,268.44,-358.23,0,0,0,0,1365.724214
22,05:15-05:30,1821.183575,42.14,-80.75,311.6,-45.86,0,0,0,0,2048.313575
23,05:30-05:45,2035.168418,41.87,-80.75,323.69,25.76,0,0,0,0,2345.738418
24,05:45-06:00,1734.192166,41.6,-80.75,353.18,84.27,0,0,0,0,2132.492166
25,06:00-06:15,2369.719765,42.3,-80.75,384.13,50.23,0,0,0,0,2765.629765
26,06:15-06:30,2663.499426,42.07,-80.75,384.13,70.74,0,0,0,0,3079.689426
27,06:30-06:45,2796.81899,42.12,209.17,384.13,-972.24,0,0,0,0,2459.99899
28,06:45-07:00,2986.800922,41.83,209.17,384.13,-853.71,0,0,0,0,2768.220922
29,07:00-07:15,3015.686079,42.23,209.17,383.73,-703.16,0,0,0,0,2947.656079
30,07:15-07:30,3017.87948,42.28,209.17,382.95,-495.17,0,0,0,0,3157.10948
31,07:30-07:45,2958.09763,39.99,209.17,346.72,-329.6,0,0,0,0,3224.37763
32,07:45-08:00,2774.033997,42.41,209.17,308.7,-44.01,0,0,0,0,3290.303997
33,08:00-08:15,2672.00638,39.69,209.17,268.22,1.93,0,0,0,0,3191.01638
34,08:15-08:30,2470.803242,39.62,209.17,251.03,1.93,0,0,0,0,2972.553242
35,08:30-08:45,2547.901496,42.67,209.17,226.33,1.93,0,0,0,0,3028.001496
36,08:45-09:00,2670.084524,37.64,209.17,198.34,1.93,0,0,0,0,3117.164524
37,09:00-09:15,2594.256818,44.68,209.17,168.75,1.93,0,0,0,0,3018.786818
38,09:15-09:30,2594.256818,44.99,209.17,141.34,1.93,0,0,0,0,2991.686818
39,09:30-09:45,2591.277626,44.99,209.17,113.01,1.93,0,0,0,0,2960.377626
40,09:45-10:00,2577.831426,44.99,209.17,88.41,1.93,0,0,0,0,2922.331426
41,10:00-10:15,2294.190414,44.99,209.17,64.22,1.93,0,0,0,0,2614.500414
42,10:15-10:30,2285.675732,44.99,209.17,42.77,1.93,0,0,0,0,2584.535732
43,10:30-10:45,2444.253498,44.99,209.17,23.16,1.93,0,0,0,0,2723.503498
44,10:45-11:00,2486.932622,44.99,209.17,5,1.93,0,0,0,0,2748.022622
45,11:00-11:15,2506.641527,44.99,-80.75,6.62,383.66,0,0,0,0,2861.161527
46,11:15-11:30,2504.830421,44.99,-80.75,-5.29,674.55,0,0,0,0,3138.330421
47,11:30-11:45,2504.830421,44.99,-80.75,-15.03,698.71,0,0,0,0,3152.750421
48,11:45-12:00,2507.983198,44.99,-80.75,-23.5,722.87,0,0,0,0,3171.593198
49,12:00-12:15,2512.999958,58.54,-80.75,-24.28,737.36,0,0,0,0,3203.869958
50,12:15-12:30,2512.456125,58.54,-80.75,-26.86,627.19,0,0,0,0,3090.576125
51,12:30-12:45,2511.040736,58.54,-80.75,-33.04,656.19,0,0,0,0,3111.980736
52,12:45-13:00,2496.042492,58.54,-80.75,-34.48,654.64,0,0,0,0,3093.992492
53,13:00-13:15,2491.771901,58.54,-80.75,-34.23,701.41,0,0,0,0,3136.741901
54,13:15-13:30,2489.922869,58.54,-80.75,-32.31,712.04,0,0,0,0,3147.442869
55,13:30-13:45,2489.922869,58.54,-80.75,-30.91,860.87,0,0,0,0,3297.672869
56,13:45-14:00,2338.484467,58.54,-80.75,-22.68,902.44,0,0,0,0,3196.034467
57,14:00-14:15,2284.746874,58.54,-80.75,-13.26,875.66,0,0,0,0,3124.936874
58,14:15-14:30,2252.74206,58.54,-80.75,-1.74,918.83,0,0,0,0,3147.62206
59,14:30-14:45,2252.74206,58.54,-80.75,9.79,987.76,0,0,0,0,3228.08206
60,14:45-15:00,2248.125167,58.54,-80.75,24.43,1056.01,0,0,0,0,3306.355167
61,15:00-15:15,2293.046276,58.54,-80.75,42.61,1152.05,0,0,0,0,3465.496276
62,15:15-15:30,2310.702276,58.54,-80.75,62.15,1130.49,0,0,0,0,3481.132276
63,15:30-15:45,2323.154575,58.54,-80.75,83.76,1140.16,0,0,0,0,3524.864575
64,15:45-16:00,2338.887721,58.54,-80.75,107.25,1244.53,0,0,0,0,3668.457721
65,16:00-16:15,2093.336357,58.54,-80.75,130.77,1225.4,0,0,0,0,3427.296357
66,16:15-16:30,2075.956255,58.54,-80.75,149.01,1194.47,0,0,0,0,3397.226255
67,16:30-16:45,2298.462176,58.54,-80.75,179.04,1100.73,0,0,0,0,3556.022176
68,16:45-17:00,2546.647595,58.54,-80.75,207.33,798.25,0,0,0,0,3530.017595
69,17:00-17:15,2622.258958,58.54,-80.75,230.52,8.12,0,0,0,0,2838.688958
70,17:15-17:30,2689.926945,58.54,-80.75,276.63,1.93,0,0,0,0,2946.276945
71,17:30-17:45,2767.901384,58.54,-80.75,325.54,1.93,0,0,0,0,3073.161384
72,17:45-18:00,2889.962004,58.54,-80.75,367.93,1.93,0,0,0,0,3237.612004
73,18:00-18:15,2692.865304,58.54,-80.75,375.62,-129.49,0,0,0,0,2916.785304
74,18:15-18:30,2191.262001,58.54,-80.75,382.92,-187.43,0,0,0,0,2364.542001
75,18:30-18:45,1666.293173,58.54,-80.75,384.13,-140.87,0,0,0,0,1887.343173
76,18:45-19:00,2131.175709,58.54,-80.75,384.13,-187.43,0,0,0,0,2305.665709
77,19:00-19:15,2579.135843,58.54,-80.75,384.13,-335.4,0,0,0,0,2605.655843
78,19:15-19:30,2582.454503,58.54,-80.75,354.15,-369.55,0,0,0,0,2544.844503
79,19:30-19:45,2510.224998,58.54,-80.75,323.69,-543.39,0,0,0,0,2268.314998
80,19:45-20:00,2500.710197,58.54,-80.75,297.09,-657.22,0,0,0,0,2118.370197
81,20:00-20:15,2442.80434,58.54,-80.75,297.09,-1068.9,0,0,0,0,1648.78434
82,20:15-20:30,2004.774194,58.54,-80.75,297.09,-1276.89,0,0,0,0,1002.764194
83,20:30-20:45,2184.561708,58.54,-80.75,297.09,-1540.48,0,0,0,0,918.961708
84,20:45-21:00,2377.548864,58.54,-80.75,297.09,-1602.03,0,0,0,0,1050.398864
85,21:00-21:15,2390.020756,58.54,-80.75,297.09,-1865.06,0,0,0,0,799.840756
86,21:15-21:30,2390.020756,58.54,-80.75,297.09,-967.57,0,0,0,0,1697.330756
87,21:30-21:45,2386.8318,58.54,-80.75,297.09,-906.72,0,0,0,0,1754.9918
88,21:45-22:00,2387.267122,58.54,-80.75,297.09,-1017.99,0,0,0,0,1644.157122
89,22:00-22:15,2532.380579,58.54,-80.75,297.09,-275.53,0,0,0,0,2531.730579
90,22:15-22:30,2510.041739,58.54,-80.75,297.09,-101.67,0,0,0,0,2683.251739
91,22:30-22:45,2503.732277,58.54,-80.75,297.09,28.5,0,0,0,0,2807.112277
92,22:45-23:00,2484.137426,58.54,-80.75,297.09,72.77,0,0,0,0,2831.787426
93,23:00-23:15,2438.595386,58.54,-80.75,297.09,72.77,0,0,0,0,2786.245386
94,23:15-23:30,2438.812979,58.54,-80.75,297.09,45.05,0,0,0,0,2758.742979
95,23:30-23:45,2438.812979,58.54,-80.75,297.09,-2.34,0,0,0,0,2711.352979
96,23:45-24:00,2438.595386,58.54,-80.75,297.09,-1.73,0,0,0,0,2711.745386
,MWHR,54922.89632,1224.3275,-647.895,5244.4375,1465.8625,0,0,0,0,62209.62882
,Maximum,3017.87948,58.54,209.17,384.13,1244.53,0,0,0,0,3668.457721
,Minimum,874.072344,37.64,-96.65,-34.48,-1865.06,0,0,0,0,799.840756
,Average,2288.454013,51.013646,-26.995625,218.518229,61.077604,0,0,0,0,2592.067867
