Time Block,Time Desc,ISGS,MTOA,STOA,LTA,IEX,PXI,URS,RRAS,SCED,Net Total
1,00:00-00:15,1901.906706,29.77,-100.03,298.26,128.84,0,0,0,0,2258.746706
2,00:15-00:30,1802.410881,29.77,-100.03,250.31,129.27,0,0,0,0,2111.730881
3,00:30-00:45,1895.129731,29.77,-100.03,202.36,129.27,0,0,0,0,2156.499731
4,00:45-01:00,1878.02907,29.77,-100.03,154.4,129.47,0,0,0,0,2091.63907
5,01:00-01:15,1994.126529,29.77,-100.03,154.4,130.15,0,0,0,0,2208.416529
6,01:15-01:30,1981.647204,29.77,-100.03,154.4,129.95,0,0,0,0,2195.737204
7,01:30-01:45,1903.553275,29.77,-100.03,154.4,133.83,0,0,0,0,2121.523275
8,01:45-02:00,1624.475862,29.77,-100.03,202.36,134.12,0,0,0,0,1890.695862
9,02:00-02:15,1433.142297,29.77,-100.03,250.31,134.12,0,0,0,0,1747.312297
10,02:15-02:30,1433.312188,29.77,-100.03,298.26,134.12,0,0,0,0,1795.432188
11,02:30-02:45,1244.45521,29.77,-100.03,298.26,134.12,0,0,0,0,1606.57521
12,02:45-03:00,1324.268317,29.77,-100.03,298.26,134.12,0,0,0,0,1686.388317
13,03:00-03:15,1329.127721,29.77,-100.03,298.26,134.12,0,0,0,0,1691.247721
14,03:15-03:30,1375.009326,29.77,-100.03,298.26,134.12,0,0,0,0,1737.129326
15,03:30-03:45,1123.710305,29.77,-100.03,298.26,134.12,0,0,0,0,1485.830305
16,03:45-04:00,947.325944,29.77,-100.03,298.26,134.12,0,0,0,0,1309.445944
17,04:00-04:15,748.222301,29.77,-100.03,298.26,-100.77,0,0,0,0,875.452301
18,04:15-04:30,576.847966,29.77,-100.03,298.26,134.12,0,0,0,0,938.967966
19,04:30-04:45,807.386403,29.77,-100.03,298.26,-253.69,0,0,0,0,781.696403
20,04:45-05:00,1121.952831,29.77,-100.03,298.26,-270.55,0,0,0,0,1079.402831
21,05:00-05:15,1068.530607,29.77,-100.03,298.26,-146.17,0,0,0,0,1150.360607
22,05:15-05:30,1254.07184,29.77,-100.03,314.81,-26.99,0,0,0,0,1471.63184
23,05:30-05:45,1708.582657,29.77,-100.03,325.05,62.94,0,0,0,0,2026.312657
24,05:45-06:00,2135.608304,29.77,-100.03,351.82,130.54,0,0,0,0,2547.708304
25,06:00-06:15,2332.522868,29.77,-100.03,378.61,94.92,0,0,0,0,2735.792868
26,06:15-06:30,2523.141643,29.77,-100.03,378.61,101.15,0,0,0,0,2932.641643
27,06:30-06:45,2798.928365,29.77,190.91,378.61,-337.17,0,0,0,0,3061.048365
28,06:45-07:00,2893.129081,29.77,190.91,378.61,-498.64,0,0,0,0,2993.779081
29,07:00-07:15,3030.077427,29.77,190.91,378.22,-147.19,0,0,0,0,3481.787427
30,07:15-07:30,3036.700938,29.77,190.91,376.55,21.92,0,0,0,0,3655.850938
31,07:30-07:45,3032.49065,29.77,190.91,342.51,21.92,0,0,0,0,3617.60065
32,07:45-08:00,2830.961356,29.77,190.91,308.33,21.92,0,0,0,0,3381.891356
33,08:00-08:15,2687.5917,29.77,190.91,287.75,286.77,0,0,0,0,3482.7917
34,08:15-08:30,2550.45121,29.77,190.91,266.34,331.38,0,0,0,0,3368.85121
35,08:30-08:45,2553.444326,29.77,190.91,243,295.5,0,0,0,0,3312.624326
36,08:45-09:00,2558.094199,29.77,190.91,218.61,289.68,0,0,0,0,3287.064199
37,09:00-09:15,2412.564425,29.77,190.91,185.14,458.42,0,0,0,0,3276.804425
38,09:15-09:30,2467.451804,29.77,190.91,162.61,457.45,0,0,0,0,3308.191804
39,09:30-09:45,2450.949176,29.77,190.91,148.36,401.21,0,0,0,0,3221.199176
40,09:45-10:00,2448.425607,29.77,190.91,125.73,339.14,0,0,0,0,3133.975607
41,10:00-10:15,2474.592835,29.77,190.91,89.42,152.94,0,0,0,0,2937.632835
42,10:15-10:30,2471.117667,29.77,190.91,67.54,201.43,0,0,0,0,2960.767667
43,10:30-10:45,2417.736095,29.77,190.91,45.89,248.95,0,0,0,0,2933.256095
44,10:45-11:00,2453.475553,29.77,190.91,34.82,181.06,0,0,0,0,2890.035553
45,11:00-11:15,2453.91379,29.77,-100.03,23.28,697.97,0,0,0,0,3104.90379
46,11:15-11:30,2439.082692,29.77,-100.03,9.77,935.57,0,112.054786,0,0,3426.217478
47,11:30-11:45,2425.714628,29.77,-100.03,3.71,903.56,0,112.054786,0,0,3374.779414
48,11:45-12:00,2425.714628,29.77,-100.03,-10.82,875.44,0,98.21019,0,0,3318.284818
49,12:00-12:15,2431.80986,29.77,-100.03,-12.61,785.25,0,116.761766,0,0,3250.951626
50,12:15-12:30,2436.110248,29.77,-100.03,-8.67,964.66,0,0,0,0,3321.840248
51,12:30-12:45,2436.657875,29.77,-100.03,12.18,967.57,0,31.508628,0,0,3377.656503
52,12:45-13:00,2436.110248,29.77,-100.03,17.11,975.33,0,31.508628,0,0,3389.798876
53,13:00-13:15,2440.410636,29.77,-100.03,20.14,845.86,0,33.837735,0,0,3269.988371
54,13:15-13:30,2453.7787,29.77,-100.03,26.3,856.53,0,33.837735,0,0,3300.186435
55,13:30-13:45,2457.515356,29.77,-100.03,37.71,817.35,0,62.047886,0,0,3304.363242
56,13:45-14:00,2451.564197,29.77,-100.03,61.87,811.53,0,0,0,0,3254.704197
57,14:00-14:15,2276.126533,29.77,-100.03,78.56,817.35,0,0,0,0,3101.776533
58,14:15-14:30,2228.074289,29.77,-100.03,101.31,864.87,0,0,0,0,3123.994289
59,14:30-14:45,2080.748925,29.77,-100.03,112.36,929.84,0,0,0,0,3052.688925
60,14:45-15:00,2204.430483,29.77,-100.03,121.07,952.54,0,0,0,0,3207.780483
61,15:00-15:15,2226.114124,29.77,-100.03,160.41,1007.67,0,0,0,0,3323.934124
62,15:15-15:30,2342.315202,29.77,-100.03,187.72,1037.78,0,0,0,0,3497.555202
