Time Block,Time Desc,ISGS,MTOA,STOA,LTA,IEX,PXI,URS,RRAS,SCED,Net Total
1,00:00-00:15,1688.640855,44.99,-98.78,200.61,79.73,0,0,0,0,1915.190855
2,00:15-00:30,1849.283633,44.99,-98.78,149.03,79.73,0,0,0,0,2024.253633
3,00:30-00:45,1928.197194,44.65,-98.78,149.03,79.73,0,0,0,0,2102.827194
4,00:45-01:00,1892.798768,44.99,-98.78,149.03,79.73,0,0,0,0,2067.768768
5,01:00-01:15,1783.542942,44.99,-98.78,149.03,79.73,0,0,0,0,1958.512942
6,01:15-01:30,1538.578953,44.99,-98.78,149.03,79.73,0,0,0,0,1713.548953
7,01:30-01:45,1422.088942,44.99,-98.78,149.03,79.73,0,0,0,0,1597.058942
8,01:45-02:00,1324.195651,44.06,-98.78,149.03,79.73,0,0,0,0,1498.235651
9,02:00-02:15,1053.838639,43.71,-98.78,149.03,79.73,0,0,0,0,1227.528639
10,02:15-02:30,1002.307492,44.68,-98.78,149.03,79.73,0,0,0,0,1176.967492
11,02:30-02:45,1017.323828,44.99,-98.78,149.03,79.73,0,0,0,0,1192.293828
12,02:45-03:00,1027.852552,44.99,-98.78,149.03,79.73,0,0,0,0,1202.822552
13,03:00-03:15,1042.10089,44.99,-98.78,149.03,79.82,0,0,0,0,1217.16089
14,03:15-03:30,1040.681856,44.99,-98.78,149.03,79.82,0,0,0,0,1215.741856
15,03:30-03:45,1074.549198,44.99,-98.78,149.03,80.02,0,0,0,0,1249.809198
16,03:45-04:00,991.383527,44.99,-98.78,149.03,80.02,0,0,0,0,1166.643527
17,04:00-04:15,962.699697,44.97,-98.78,149.03,80.21,0,0,0,0,1138.129697
18,04:15-04:30,960.882355,44.66,-98.78,149.03,-0.09,0,0,0,0,1055.702355
19,04:30-04:45,959.377994,44.69,-98.78,163.54,-131.81,0,0,0,0,937.017994
20,04:45-05:00,946.268146,42.62,-98.78,163.54,-44.34,0,0,0,0,1009.308146
21,05:00-05:15,1308.101164,44.99,-98.78,163.54,-262.42,0,0,0,0,1155.431164
22,05:15-05:30,1669.948671,44.99,-98.78,163.54,-494.52,0,0,0,0,1285.178671
23,05:30-05:45,2267.214774,43.7,-98.78,227.21,-440.92,0,0,0,0,1998.424774
24,05:45-06:00,2549.864064,44.99,-98.78,301.56,-751.87,0,0,0,0,2045.764064
25,06:00-06:15,2806.464063,44.99,-98.78,376.88,-922.96,0,0,0,0,2206.594063
26,06:15-06:30,2868.186295,40.51,-98.78,376.88,-542.98,0,0,0,0,2643.816295
27,06:30-06:45,2964.193286,42.65,191.14,376.88,-562.43,0,0,0,0,3012.433286
28,06:45-07:00,2972.882036,40.93,191.14,376.88,-333.74,0,0,0,0,3248.092036
29,07:00-07:15,2874.19942,41.24,191.14,376.31,7.73,0,0,0,0,3490.61942
30,07:15-07:30,2862.765331,40.54,191.14,374.05,7.73,0,0,0,0,3476.225331
31,07:30-07:45,2744.252166,41.97,191.14,340.39,7.73,0,0,0,0,3325.482166
32,07:45-08:00,2653.121985,42.45,191.14,306.19,-25.07,0,0,0,0,3167.831985
33,08:00-08:15,2531.965916,44.45,191.14,281.61,-32.8,0,0,0,0,3016.365916
34,08:15-08:30,1975.239436,44.2,191.14,262.42,569.13,0,0,0,0,3042.129436
35,08:30-08:45,2287.495249,43.1,191.14,225.64,626.53,0,0,0,0,3373.905249
36,08:45-09:00,2400.959593,39.99,191.14,199.82,699.97,0,0,0,0,3531.879593
37,09:00-09:15,2367.893553,44.99,191.14,171.19,653.15,0,0,0,0,3428.363553
38,09:15-09:30,2360.974207,44.99,191.14,147.63,552.64,0,0,0,0,3297.374207
39,09:30-09:45,2330.487774,44.99,191.14,123.06,451.96,0,0,0,0,3141.637774
40,09:45-10:00,2198.269237,44.99,191.14,97.8,371.75,0,0,0,0,2903.949237
41,10:00-10:15,2063.768225,44.99,191.14,74.14,330.44,0,0,0,0,2704.478225
42,10:15-10:30,2316.649908,44.99,191.14,50.96,345.82,0,0,0,0,2949.559908
43,10:30-10:45,2306.320713,43.97,191.14,39.21,364.84,0,0,0,0,2945.480713
44,10:45-11:00,2306.320713,44.99,191.14,20.47,295.26,0,0,0,0,2858.180713
45,11:00-11:15,2335.895812,44.99,-98.78,3.51,524.3,0,0,0,0,2809.915812
46,11:15-11:30,2374.45864,44.99,-98.78,-9.82,434.43,0,0,0,0,2745.27864
47,11:30-11:45,2496.658972,44.99,-98.78,-28.16,380.41,0,0,0,0,2795.118972
48,11:45-12:00,2581.214471,44.99,-98.78,-37.13,443.22,0,0,0,0,2933.514471
49,12:00-12:15,2607.605321,44.99,-98.78,-43.57,431.11,0,0,0,0,2941.355321
50,12:15-12:30,2616.370166,44.99,-98.78,-45.75,609.86,0,0,0,0,3126.690166
51,12:30-12:45,2610.391338,44.99,-98.78,-49.77,657.21,0,0,0,0,3164.041338
52,12:45-13:00,2380.347269,44.99,-98.78,-49.16,529.64,0,0,0,0,2807.037269
53,13:00-13:15,2299.001277,44.99,-98.78,-49.33,505.43,0,0,0,0,2701.311277
54,13:15-13:30,2318.290871,44.99,-98.78,-44.75,479.33,0,0,0,0,2699.080871
55,13:30-13:45,2379.01619,44.99,-98.78,-39.61,447.44,0,0,0,0,2733.05619
56,13:45-14:00,2368.026998,44.99,-98.78,-33.23,446.48,0,0,0,0,2727.486998
57,14:00-14:15,2558.285992,44.99,-98.78,-23.22,476.44,0,0,0,0,2957.715992
58,14:15-14:30,2578.040547,44.99,-98.78,-10.46,420.38,0,0,0,0,2934.170547
59,14:30-14:45,2578.58438,44.99,-98.78,4.24,465.8,0,0,0,0,2994.83438
60,14:45-15:00,2588.089812,43.91,-98.78,19.87,421.35,0,0,0,0,2974.439812
61,15:00-15:15,2594.317525,41.5,-98.78,36.21,388.49,0,0,0,0,2961.737525
62,15:15-15:30,2605.672607,43.18,-98.78,57.4,389.46,0,0,0,0,2996.932607
63,15:30-15:45,2605.672607,44.19,-98.78,80.71,299.58,0,0,0,0,2931.372607
64,15:45-16:00,2625.558829,44.18,-98.78,103.33,373.03,0,64.466828,0,0,3111.785657
65,16:00-16:15,2643.648022,42.09,-98.78,129.51,351.77,0,184.050713,0,0,3252.288735
66,16:15-16:30,2692.33328,44.99,-98.78,159.37,302.48,0,184.050713,0,0,3284.443993
67,16:30-16:45,2713.059758,44.99,-98.78,205.7,-10.92,0,81.183264,0,0,2935.233022
68,16:45-17:00,2775.124394,44.99,-98.78,231.06,-32.8,0,33.38064,0,0,2952.975034
69,17:00-17:15,2911.754415,44.99,-98.78,252.22,-32.8,0,0,0,0,3077.384415
70,17:15-17:30,2977.092783,44.99,-98.78,282.65,-32.8,0,0,0,0,3173.152783
71,17:30-17:45,3039.913843,44.99,-98.78,326.32,-32.8,0,0,0,0,3279.643843
72,17:45-18:00,3145.48211,44.99,-98.78,363.54,-32.8,0,0,0,0,3422.43211
73,18:00-18:15,3044.968869,44.99,-98.78,370.11,-32.8,0,0,0,0,3328.488869
74,18:15-18:30,3225.049038,44.99,-98.78,376.82,-32.8,0,0,0,0,3515.279038
75,18:30-18:45,3201.64701,44.99,-98.78,376.88,-32.8,0,0,0,0,3491.93701
76,18:45-19:00,3154.064836,44.99,-98.78,376.88,-32.8,0,0,0,0,3444.354836
77,19:00-19:15,3050.789177,44.99,-98.78,376.88,-32.8,0,0,0,0,3341.079177
78,19:15-19:30,2901.799975,44.99,-98.78,350.28,-32.8,0,0,0,0,3165.489975
79,19:30-19:45,2779.678992,44.99,-98.78,323.69,-32.8,0,0,0,0,3016.778992
80,19:45-20:00,2506.500038,44.99,-98.78,311.6,-32.8,0,0,0,0,2731.510038
81,20:00-20:15,2182.742711,44.99,-98.78,311.6,0,0,0,0,0,2440.552711
82,20:15-20:30,2327.379119,44.99,-98.78,297.09,0,0,0,0,0,2570.679119
83,20:30-20:45,2300.08642,44.99,-98.78,297.09,0,0,0,0,0,2543.38642
84,20:45-21:00,2291.673463,44.99,-98.78,297.09,0,0,0,0,0,2534.973463
85,21:00-21:15,2291.206742,44.99,-98.78,297.09,-1092.72,0,0,0,0,1441.786742
86,21:15-21:30,2299.221392,44.99,-98.78,297.09,-1091.68,0,65.586822,0,0,1516.428214
87,21:30-21:45,2299.804206,44.99,-98.78,297.09,-1195.16,0,65.586822,0,0,1413.531028
88,21:45-22:00,2299.894982,44.99,-98.78,297.09,-1195.16,0,0,0,0,1348.034982
89,22:00-22:15,2299.395469,44.99,-98.78,297.09,-1157.53,0,0,0,0,1385.165469
90,22:15-22:30,2299.403069,44.99,-98.78,297.09,-653.02,0,0,0,0,1889.683069
91,22:30-22:45,2260.920485,44.99,-98.78,297.09,-444.81,0,0,0,0,2059.410485
92,22:45-23:00,2260.925128,44.99,-98.78,297.09,-24.43,0,0,0,0,2479.795128
93,23:00-23:15,2251.967726,44.99,-98.78,297.09,73.16,0,0,0,0,2568.427726
94,23:15-23:30,2251.248759,44.39,-98.78,297.09,73.16,0,0,0,0,2567.108759
95,23:30-23:45,2251.248759,44.99,-98.78,297.09,73.16,0,0,0,0,2567.708759
96,23:45-24:00,2251.248759,44.99,-98.78,297.09,73.16,0,0,0,0,2567.708759
,MWHR,54194.22606,1066.625,-1066.08,4484.5575,1218.4575,0,169.57645,0,0,60067.36251
,Maximum,3225.049038,44.99,191.14,376.88,699.97,0,184.050713,0,0,3531.879593
,Minimum,946.268146,39.99,-98.78,-49.77,-1195.16,0,0,0,0,937.017994
,Average,2258.092753,44.442708,-44.42,186.856562,50.769062,0,7.065685,0,0,2502.806771
