Time Block,Time Desc,ISGS,MTOA,STOA,LTA,IEX,PXI,URS,RRAS,SCED,Net Total
1,00:00-00:15,2176.333478,33.56,-53.16,297.05,102.06,0,0,0,0,2555.843478
2,00:15-00:30,2182.9741,33.56,-55.09,297.05,101.87,0,0,0,0,2560.3641
3,00:30-00:45,2068.50796,33.56,-56.06,297.05,102.06,0,0,0,0,2445.11796
4,00:45-01:00,2053.971518,33.56,-57.03,297.05,102.25,0,0,0,0,2429.801518
5,01:00-01:15,2015.06879,33.56,-57.99,297.05,102.83,0,0,0,0,2390.51879
6,01:15-01:30,2076.095974,33.56,-59.92,297.05,103.22,0,0,0,0,2450.005974
7,01:30-01:45,2051.461123,33.56,-60.89,297.05,103.51,0,0,0,0,2424.691123
8,01:45-02:00,2046.278998,33.56,-62.82,297.05,103.7,0,0,0,0,2417.768998
9,02:00-02:15,2051.944184,33.56,-64.75,297.05,104,0,0,0,0,2421.804184
10,02:15-02:30,1844.790113,33.56,-67.65,297.05,104.19,0,0,0,0,2211.940113
11,02:30-02:45,1707.112079,33.56,-69.59,297.05,104.96,0,0,0,0,2073.092079
12,02:45-03:00,1844.986028,33.56,-72.49,297.05,104.67,0,0,0,0,2207.776028
13,03:00-03:15,1976.074658,33.56,-77.32,297.05,105.06,0,0,0,0,2334.424658
14,03:15-03:30,2055.67068,33.56,-82.15,297.05,98.16,0,0,0,0,2402.29068
15,03:30-03:45,1656.966579,33.56,-86.99,297.05,104.96,0,0,0,0,2005.546579
16,03:45-04:00,1330.462723,33.56,-91.82,297.05,104.96,0,0,0,0,1674.212723
17,04:00-04:15,1074.400434,33.56,-96.65,297.05,-20.92,0,0,0,0,1287.440434
18,04:15-04:30,1206.603083,33.56,-96.65,297.05,-52.75,0,0,0,0,1387.813083
19,04:30-04:45,1249.510162,33.56,-98.59,297.05,-172.31,0,0,0,0,1309.220162
20,04:45-05:00,1476.460871,33.56,-98.59,297.05,-235.58,0,0,0,0,1472.900871
21,05:00-05:15,1663.327502,33.56,-98.59,297.05,-274.08,0,0,0,0,1621.267502
22,05:15-05:30,1777.261379,33.56,-98.59,311.61,-207.7,0,0,0,0,1816.141379
23,05:30-05:45,1950.287143,33.56,-98.59,323.76,-145.44,0,0,0,0,2063.577143
24,05:45-06:00,2091.660862,33.56,-98.59,350.44,-59,0,0,0,0,2318.070862
25,06:00-06:15,2338.179275,40.27,-98.59,377.15,-573.5,0,0,0,0,2083.509275
26,06:15-06:30,2831.392125,45.07,-98.59,377.15,-571.46,0,0,0,0,2583.562125
27,06:30-06:45,2853.225066,45.07,-98.59,377.15,-421.48,0,0,0,0,2755.375066
28,06:45-07:00,2735.429968,45.07,-98.59,377.15,9.88,0,0,0,0,3068.939968
29,07:00-07:15,2903.300868,45.07,-98.59,377.08,9.88,0,0,0,0,3236.740868
30,07:15-07:30,2671.727525,45.07,-98.59,376.05,9.88,0,0,0,0,3004.137525
31,07:30-07:45,2408.40476,45.07,-98.59,344.46,222.9,0,0,0,0,2922.24476
32,07:45-08:00,2407.2056,45.07,-98.59,309.58,671.41,0,0,0,0,3334.6756
33,08:00-08:15,2526.93905,45.07,-98.59,285.13,977.44,0,0,0,0,3735.98905
34,08:15-08:30,2493.366165,45.07,-98.59,267.7,1041.35,0,0,0,0,3748.896165
35,08:30-08:45,2484.719763,45.07,-98.59,242.31,1017.26,0,0,0,0,3690.769763
36,08:45-09:00,2433.960501,45.07,-98.59,212.54,1112.15,0,0,0,0,3705.130501
37,09:00-09:15,2201.302128,45.07,-98.59,170.06,1665.05,0,0,0,0,3982.892128
38,09:15-09:30,2103.959891,45.07,-98.59,142.76,1697.01,0,0,0,0,3890.209891
39,09:30-09:45,2295.10803,45.07,-98.59,125.71,1731.7,0,0,0,0,4098.99803
40,09:45-10:00,2327.795774,45.07,-98.59,100.8,1633.9,0,0,0,0,4008.975774
41,10:00-10:15,2324.519408,45.07,-98.59,79.76,1531.26,0,0,0,0,3882.019408
42,10:15-10:30,2317.392014,45.07,-98.59,57.15,1597.1,0,0,0,0,3918.122014
43,10:30-10:45,2322.75507,45.07,-98.59,39.67,1516.73,0,0,0,0,3825.63507
44,10:45-11:00,2322.536689,45.07,-98.59,19.96,1460.57,0,0,0,0,3749.546689
45,11:00-11:15,2322.536689,45.07,-98.59,34.12,1164.27,0,0,0,0,3467.406689
46,11:15-11:30,2327.274633,45.07,-98.59,19.1,876.69,0,0,0,0,3169.544633
47,11:30-11:45,2314.770433,45.07,-98.59,9.39,709.17,0,0,0,0,2979.810433
48,11:45-12:00,2314.770433,45.07,-98.59,-3.08,541.66,0,0,0,0,2799.830433
49,12:00-12:15,2322.003601,45.07,-98.59,1.95,348.96,0,0,0,0,2619.393601
50,12:15-12:30,2322.221982,45.07,-98.59,-0.63,332.5,0,0,0,0,2600.571982
51,12:30-12:45,2322.003601,45.07,-98.59,-7.95,329.6,0,0,0,0,2590.133601
52,12:45-13:00,2322.003601,45.07,-98.59,2.29,210.5,0,0,0,0,2481.273601
53,13:00-13:15,2326.700159,45.07,-98.59,3.46,149.31,0,0,0,0,2425.950159
54,13:15-13:30,2330.881177,45.07,-98.59,6.61,188.04,0,0,0,0,2472.011177
55,13:30-13:45,2337.201492,45.07,-98.59,13.03,121.23,0,0,0,0,2417.941492
56,13:45-14:00,2337.201492,45.07,-98.59,20.74,15.11,0,0,0,0,2319.531492
