Time Block,Time Desc,ISGS,MTOA,STOA,LTA,IEX,PXI,URS,RRAS,SCED,Net Total
1,00:00-00:15,2311.774534,44.85,-100.03,296.47,90.77,0,0,0,0,2643.834534
2,00:15-00:30,2310.628625,44.85,-100.03,296.47,90.77,0,0,0,0,2642.688625
3,00:30-00:45,2316.591022,44.85,-100.03,296.47,90.77,0,0,0,0,2648.651022
4,00:45-01:00,2048.367549,44.85,-100.03,296.47,90.77,0,0,0,0,2380.427549
5,01:00-01:15,1617.28042,44.85,-100.03,296.47,90.77,0,0,0,0,1949.34042
6,01:15-01:30,1874.640158,44.85,-100.03,296.47,90.77,0,0,0,0,2206.700158
7,01:30-01:45,2092.323628,44.85,-100.03,296.47,90.77,0,0,0,0,2424.383628
8,01:45-02:00,2182.352081,44.85,-100.03,296.47,90.77,0,0,0,0,2514.412081
9,02:00-02:15,2186.172328,44.85,-100.03,296.47,90.77,0,0,0,0,2518.232328
10,02:15-02:30,2100.051765,44.85,-100.03,296.47,90.77,0,0,0,0,2432.111765
11,02:30-02:45,1967.507087,44.85,-100.03,296.47,90.77,0,0,0,0,2299.567087
12,02:45-03:00,1842.76262,44.85,-100.03,296.47,90.77,0,0,0,0,2174.82262
13,03:00-03:15,1817.083542,44.85,-100.03,296.47,90.77,0,0,0,0,2149.143542
14,03:15-03:30,1686.542105,44.85,-100.03,296.47,90.77,0,0,0,0,2018.602105
15,03:30-03:45,1426.09221,44.85,-100.03,296.47,90.77,0,0,0,0,1758.15221
16,03:45-04:00,1207.043112,44.85,-100.03,296.47,90.77,0,0,0,0,1539.103112
17,04:00-04:15,825.132791,44.85,-100.03,296.47,90.77,0,0,0,0,1157.192791
18,04:15-04:30,1128.953014,44.85,-100.03,296.47,90.77,0,0,0,0,1461.013014
19,04:30-04:45,1033.004601,44.85,-100.03,296.47,90.77,0,0,0,0,1365.064601
20,04:45-05:00,1186.146541,44.85,-100.03,296.47,90.77,0,0,0,0,1518.206541
21,05:00-05:15,1365.42686,44.85,-100.03,296.47,90.77,0,0,0,0,1697.48686
22,05:15-05:30,1937.705249,44.85,-100.03,310.89,90.77,0,0,0,0,2284.185249
23,05:30-05:45,2328.089068,44.85,-100.03,322.91,90.77,0,0,0,0,2686.589068
24,05:45-06:00,2486.561709,44.85,-100.03,352.24,90.77,0,0,0,0,2874.391709
25,06:00-06:15,2963.656955,44.85,-100.03,383.01,53.33,0,0,0,0,3344.816955
26,06:15-06:30,3055.677895,44.74,-100.03,383.01,-240.83,0,0,0,0,3142.567895
27,06:30-06:45,3093.294438,44.57,189.05,383.01,-564.39,0,0,0,0,3145.534438
28,06:45-07:00,3048.404056,44.41,189.05,383.01,-506.4,0,0,0,0,3158.474056
29,07:00-07:15,3130.039216,44.28,189.05,382.56,-194.34,0,0,0,0,3551.589216
30,07:15-07:30,3142.501804,44.14,189.05,381.72,-65.66,0,0,0,0,3691.751804
31,07:30-07:45,3066.072887,43.99,189.05,343.5,9.06,0,53.54033,0,0,3705.213217
32,07:45-08:00,2934.911388,43.85,189.05,305.01,9.06,0,62.322848,0,0,3544.204236
33,08:00-08:15,2842.726624,43.69,189.05,263.31,3.76,0,0,0,0,3342.536624
34,08:15-08:30,2832.036854,43.57,189.05,243.86,3.76,0,0,0,0,3312.276854
35,08:30-08:45,2815.863916,43.42,189.05,217.86,3.76,0,0,0,0,3269.953916
36,08:45-09:00,2822.612189,43.26,189.05,189.62,3.76,0,0,0,0,3248.302189
37,09:00-09:15,2758.909874,44.85,189.05,159.49,3.76,0,0,0,0,3156.059874
38,09:15-09:30,2755.856813,44.85,189.05,127.75,3.76,0,0,0,0,3121.266813
39,09:30-09:45,2715.037444,44.35,189.05,102.14,3.76,0,0,0,0,3054.337444
40,09:45-10:00,2657.264992,44.85,189.05,74.58,3.76,0,0,0,0,2969.504992
41,10:00-10:15,2436.031508,44.85,189.05,52.16,3.76,0,0,0,0,2725.851508
42,10:15-10:30,2293.855848,41.35,189.05,29.95,3.76,0,0,0,0,2557.965848
43,10:30-10:45,2183.451431,40.59,189.05,9.38,3.76,0,0,0,0,2426.231431
44,10:45-11:00,2181.201744,41.62,189.05,-10.47,3.76,0,0,0,0,2405.161744
45,11:00-11:15,2541.32838,44.61,-100.03,-25.4,481.7,0,0,0,0,2942.20838
46,11:15-11:30,2536.513424,42.13,-100.03,-43.24,712.97,0,0,0,0,3148.343424
47,11:30-11:45,2501.848666,42.9,-100.03,-56.95,752.48,0,0,0,0,3140.248666
48,11:45-12:00,2505.958124,41.75,-100.03,-69.28,799.69,0,0,0,0,3178.088124
49,12:00-12:15,2503.852562,44.57,-100.03,-79.55,815.11,0,0,0,0,3183.952562
50,12:15-12:30,2456.579722,44.85,-100.03,-88.12,803.55,0,0,0,0,3116.829722
51,12:30-12:45,1835.275129,44.85,-100.03,-92.19,781.38,0,0,0,0,2469.285129
52,12:45-13:00,2385.794795,44.85,-100.03,-92,782.35,0,0,0,0,3020.964795
53,13:00-13:15,2430.174956,44.85,-100.03,-89.96,722.76,0,0,0,0,3007.794956
54,13:15-13:30,2467.225563,44.85,-100.03,-88.2,651.97,0,0,0,0,2975.815563
55,13:30-13:45,2507.308952,44.85,-100.03,-79.89,676.09,0,0,0,0,3048.328952
56,13:45-14:00,2507.308952,44.67,-100.03,-74.23,617.28,0,0,0,0,2994.998952
57,14:00-14:15,2508.35992,42.62,-100.03,-62.65,655.83,0,0,0,0,3044.12992
58,14:15-14:30,2506.097326,44.85,-100.03,-51.26,710.46,0,0,0,0,3110.117326
59,14:30-14:45,2509.260806,37.88,-100.03,-38.67,764.71,0,0,0,0,3173.150806
60,14:45-15:00,2413.468208,44.85,-100.03,-25.59,812.8,0,0,0,0,3145.498208
61,15:00-15:15,2387.301064,40.34,-100.03,-4.25,886.42,0,0,0,0,3209.781064
62,15:15-15:30,2525.732181,33.2,-100.03,14.82,1002.05,0,0,0,0,3475.772181
63,15:30-15:45,2671.297059,36.64,-100.03,38.01,907.61,0,0,0,0,3553.527059
64,15:45-16:00,2687.480336,39.36,-100.03,62.97,1015.54,0,0,0,0,3705.320336
65,16:00-16:15,2709.902263,43.83,-100.03,90.14,1033.85,0,0,0,0,3777.692263
66,16:15-16:30,2755.413245,42.24,-100.03,121.54,909.54,0,0,0,0,3728.703245
67,16:30-16:45,2777.745386,38.5,-100.03,153.47,1014.57,0,0,0,0,3884.255386
68,16:45-17:00,2603.790572,39.21,-100.03,189.27,1043.48,0,0,0,0,3775.720572
69,17:00-17:15,2976.424153,40.08,-100.03,219.79,414.25,0,0,0,0,3550.514153
70,17:15-17:30,3069.201597,39.08,-100.03,270.62,3.76,0,0,0,0,3282.631597
71,17:30-17:45,3139.414794,38.76,-100.03,320.64,3.76,0,0,0,0,3402.544794
72,17:45-18:00,3219.958408,44.85,-100.03,364.57,3.76,0,0,0,0,3533.108408
73,18:00-18:15,3255.897982,39.56,-100.03,372.87,-29.03,0,0,0,0,3539.267982
74,18:15-18:30,3255.782956,44.85,-100.03,378.15,-29.03,0,0,0,0,3549.722956
75,18:30-18:45,3017.637754,42.37,-100.03,383.01,128.03,0,0,0,0,3471.017754
76,18:45-19:00,3221.386064,44.85,-100.03,383.01,84.67,0,0,0,0,3633.886064
77,19:00-19:15,3139.790472,42.24,-100.03,383.01,-29.03,0,0,0,0,3435.980472
78,19:15-19:30,3043.189391,35.27,-100.03,353.2,-29.03,0,0,0,0,3302.599391
79,19:30-19:45,2902.110474,37.88,-100.03,322.91,-29.03,0,0,0,0,3133.840474
80,19:45-20:00,2800.046686,35.91,-100.03,296.47,-29.03,0,0,0,0,3003.366686
81,20:00-20:15,2732.456493,33.73,-100.03,296.47,3.76,0,0,0,0,2966.386493
82,20:15-20:30,2743.000251,44.85,-100.03,296.47,-161.25,0,0,0,0,2823.040251
83,20:30-20:45,2364.436275,41.09,-100.03,296.47,-321.06,0,0,0,0,2280.906275
84,20:45-21:00,2416.837448,38.38,-100.03,296.47,-652.67,0,0,0,0,1998.987448
85,21:00-21:15,2567.162817,35.26,-100.03,296.47,-659.68,0,0,0,0,2139.182817
86,21:15-21:30,2657.722535,36.82,-100.03,296.47,-562.38,0,0,0,0,2328.602535
87,21:30-21:45,2339.193604,37.65,-100.03,296.47,-453.7,0,0,0,0,2119.583604
88,21:45-22:00,2250.192724,37.48,-100.03,296.47,-28.48,0,0,0,0,2455.632724
89,22:00-22:15,2293.579729,36.14,-100.03,296.47,85.86,0,0,0,0,2612.019729
90,22:15-22:30,2283.475331,41.68,-100.03,296.47,85.86,0,0,0,0,2607.455331
91,22:30-22:45,2270.121144,42.99,-100.03,296.47,85.86,0,0,0,0,2595.411144
92,22:45-23:00,2270.26703,42.93,-100.03,296.47,85.86,0,0,0,0,2595.49703
93,23:00-23:15,2264.276627,42.86,-100.03,296.47,87.01,0,0,0,0,2590.586627
94,23:15-23:30,2264.276627,38.2,-100.03,296.47,87.01,0,0,0,0,2585.926627
95,23:30-23:45,2255.784367,40.03,-100.03,296.47,87.01,0,0,0,0,2579.264367
96,23:45-24:00,2256.000655,42.67,-100.03,296.47,87.01,0,0,0,0,2582.120655
,MWHR,58628.07062,1021.0475,-1099.86,5004.2325,4599.4225,0,28.965794,0,0,68181.87891
,Maximum,3255.897982,44.85,189.05,383.01,1043.48,0,62.322848,0,0,3884.255386
,Minimum,825.132791,33.2,-100.03,-92.19,-659.68,0,0,0,0,1157.192791
,Average,2442.836276,42.543646,-45.8275,208.509688,191.642604,0,1.206908,0,0,2840.911621
