Time Block,Time Desc,ISGS,MTOA,STOA,LTA,IEX,PXI,URS,RRAS,SCED,Net Total
1,00:00-00:15,1202.95253,42.99,-100.51,296.24,89.82,0,0,0,0,1531.49253
2,00:15-00:30,1324.995655,42.99,-100.51,296.24,89.82,0,0,0,0,1653.535655
3,00:30-00:45,1357.110901,42.99,-100.51,296.24,89.82,0,0,0,0,1685.650901
4,00:45-01:00,986.000186,42.99,-100.51,296.24,89.82,0,0,0,0,1314.540186
5,01:00-01:15,635.757378,42.99,-100.51,296.24,89.82,0,0,0,0,964.297378
6,01:15-01:30,597.323187,42.99,-100.51,296.24,84.59,0,0,0,0,920.633187
7,01:30-01:45,653.99639,42.99,-100.51,296.24,89.82,0,0,0,0,982.53639
8,01:45-02:00,656.053019,42.99,-100.51,296.24,89.82,0,0,0,0,984.593019
9,02:00-02:15,660.319674,42.99,-100.51,296.24,-394.24,0,0,0,0,504.799674
10,02:15-02:30,616.839973,42.99,-100.51,296.24,-423.49,0,0,0,0,432.069973
11,02:30-02:45,668.493054,42.99,-100.51,296.24,-307.4,0,0,0,0,599.813054
12,02:45-03:00,712.358421,42.99,-100.51,296.24,-420.33,0,0,0,0,530.748421
13,03:00-03:15,912.255374,42.99,-100.51,277.19,-559.58,0,0,0,0,572.345374
14,03:15-03:30,732.69114,42.99,-100.51,277.19,-397.68,0,0,0,0,554.68114
15,03:30-03:45,758.988964,42.99,-100.51,277.19,-477.26,0,0,0,0,501.398964
16,03:45-04:00,733.975991,42.99,-100.51,277.19,-546.1,0,0,0,0,407.545991
17,04:00-04:15,648.449386,42.99,-100.51,277.19,-654,0,0,0,0,214.119386
18,04:15-04:30,614.220435,42.99,-100.51,277.19,-640.53,0,0,0,0,193.360435
19,04:30-04:45,629.654391,42.99,-100.51,277.19,-787.29,0,0,0,0,62.034391
20,04:45-05:00,686.839454,42.99,-100.51,277.19,-896.86,0,0,0,0,9.649454
21,05:00-05:15,648.365929,42.99,-100.51,296.24,-409.49,0,0,0,0,477.595929
22,05:15-05:30,1020.745212,42.99,-100.51,312.14,-387.69,0,0,0,0,887.675212
23,05:30-05:45,1488.210424,42.99,-100.51,327.08,-399.84,0,0,0,0,1357.930424
